"datazone","HO.allhouseholds","HO.council","HO.employ","HO.other","HO.ownmortloan","HO.ownoutright","HO.percown","HO.percpriv","HO.percsocial","HO.privlet","HO.relative","HO.sharedown","HO.social","year"
"S01000837",498,160,3,4,137,49,41.97,13.25,44.78,57,2,23,63,2001
"S01000838",295,83,0,0,129,63,66.44,3.05,30.51,5,4,4,7,2001
"S01000839",429,93,0,0,233,66,70.86,6.76,22.38,27,2,5,3,2001
"S01000840",340,173,0,3,59,26,25,3.53,71.47,9,0,0,70,2001
"S01000841",353,258,1,0,56,26,23.8,2.27,73.94,6,1,2,3,2001
"S01000842",338,31,3,0,163,120,83.73,7.1,9.17,18,3,0,0,2001
"S01000843",376,9,2,2,185,116,80.05,6.38,13.56,18,2,0,42,2001
"S01000844",304,107,1,0,109,60,56.58,7.89,35.53,22,1,3,1,2001
"S01000845",245,31,1,0,128,69,80.41,6.12,13.47,10,4,0,2,2001
"S01000846",386,233,0,1,80,20,28.24,4.66,67.1,15,2,9,26,2001
"S01000847",495,136,4,1,183,112,60.2,6.06,33.74,20,5,3,31,2001
"S01000848",326,54,1,1,119,130,76.38,2.15,21.47,2,3,0,16,2001
"S01000849",224,94,0,0,91,34,56.25,1.79,41.96,4,0,1,0,2001
"S01000850",327,174,0,0,61,44,32.11,2.45,65.44,5,3,0,40,2001
"S01000851",299,5,0,0,229,55,94.98,3.01,2.01,6,3,0,1,2001
"S01000852",300,103,1,0,106,64,56.67,4.33,39,7,5,0,14,2001
"S01000853",258,98,0,1,75,49,48.45,3.1,48.45,5,2,1,27,2001
"S01000854",403,157,1,1,99,37,34,3.97,62.03,13,1,1,93,2001
"S01000855",330,25,7,1,184,67,76.36,6.67,16.97,12,2,1,31,2001
"S01000856",204,98,3,0,59,32,45.1,6.86,48.04,11,0,1,0,2001
"S01000857",243,96,2,0,99,34,56.38,2.88,40.74,3,2,4,3,2001
"S01000858",266,12,1,0,197,48,92.11,3.01,4.89,7,0,0,1,2001
"S01000859",360,57,3,0,178,107,79.72,4.44,15.83,10,3,2,0,2001
"S01000860",406,245,0,0,92,56,36.7,2.71,60.59,6,5,1,1,2001
"S01000861",288,80,0,0,118,80,69.44,2.43,28.12,1,6,2,1,2001
"S01000862",224,8,0,0,123,79,90.18,1.79,8.04,3,1,0,10,2001
"S01000863",279,157,1,2,71,40,40.14,2.87,56.99,3,2,1,2,2001
"S01000864",272,80,0,0,121,64,68.38,1.84,29.78,3,2,1,1,2001
"S01000865",351,198,2,0,80,57,39.6,3.99,56.41,9,3,2,0,2001
"S01000866",378,69,0,5,115,59,46.56,2.91,50.53,4,2,2,122,2001
"S01000867",397,223,0,1,101,35,34.76,2.77,62.47,5,5,2,25,2001
"S01000868",306,206,1,0,56,25,26.8,0.65,72.55,1,0,1,16,2001
"S01000869",216,47,0,2,47,11,27.31,3.7,68.98,4,2,1,102,2001
"S01000870",296,77,0,3,71,30,34.12,2.36,63.51,4,0,0,111,2001
"S01000871",344,96,0,0,157,68,65.99,4.07,29.94,6,8,2,7,2001
"S01000872",280,85,0,0,115,65,64.29,5,30.71,10,4,0,1,2001
"S01000873",383,89,1,0,162,74,62.4,2.87,34.73,8,2,3,44,2001
"S01000874",232,152,0,0,53,21,32.33,1.72,65.95,3,1,1,1,2001
"S01000875",330,125,0,3,112,62,53.03,5.15,41.82,11,3,1,13,2001
"S01000876",328,88,1,2,146,70,65.85,7.32,26.83,17,4,0,0,2001
"S01000877",362,149,2,0,85,42,39.23,2.76,58.01,5,3,15,61,2001
"S01000878",208,12,0,2,134,54,90.38,3.37,6.25,2,3,0,1,2001
"S01000879",395,32,6,1,150,158,79.75,9.37,10.89,22,8,7,11,2001
"S01000880",316,6,1,0,171,126,93.99,2.22,3.8,5,1,0,6,2001
"S01000881",316,131,2,0,95,61,50,2.53,47.47,6,0,2,19,2001
"S01000882",465,130,0,0,175,105,60.65,4.52,34.84,17,4,2,32,2001
"S01000883",398,93,0,2,169,82,63.32,11.56,25.13,40,4,1,7,2001
"S01000884",238,35,1,0,91,60,69.75,5.46,24.79,11,1,15,24,2001
"S01000885",192,5,0,1,105,78,95.83,1.56,2.6,0,2,1,0,2001
"S01000886",305,61,0,1,127,48,57.7,2.62,39.67,6,1,1,60,2001
"S01000887",310,89,0,0,128,88,70,0.97,29.03,3,0,1,1,2001
"S01000888",342,111,2,0,120,77,58.19,8.19,33.63,21,5,2,4,2001
"S01000889",352,73,0,0,153,91,70.45,3.98,25.57,9,5,4,17,2001
"S01000890",388,184,0,0,120,65,47.94,4.38,47.68,12,5,1,1,2001
"S01000891",382,83,10,3,138,135,71.47,5.5,23.04,4,4,0,5,2001
"S01000892",203,6,0,1,100,83,90.15,6.9,2.96,10,3,0,0,2001
"S01000893",274,9,0,0,159,98,94.16,2.19,3.65,3,3,1,1,2001
"S01000894",260,25,2,1,111,85,75.38,8.85,15.77,19,1,0,16,2001
"S01000895",413,84,1,1,223,85,74.58,5.08,20.34,18,1,0,0,2001
"S01000896",190,8,4,1,77,87,87.37,8.42,4.21,9,2,2,0,2001
"S01000897",310,42,9,2,54,148,65.48,19.03,15.48,38,10,1,6,2001
"S01000898",246,27,11,0,33,131,66.67,19.92,13.41,30,8,0,6,2001
"S01000899",377,149,0,3,60,122,48.54,9.02,42.44,25,6,1,11,2001
"S01000900",271,18,15,2,55,144,73.8,16.24,9.96,22,5,1,9,2001
"S01000901",303,40,16,3,51,63,38.94,42.24,18.81,100,9,4,17,2001
"S01000902",429,76,8,1,126,164,68.3,13.99,17.72,36,15,3,0,2001
"S01000903",444,65,23,3,85,203,64.86,20.5,14.64,53,12,0,0,2001
"S01000904",311,62,10,1,79,120,64.31,14.79,20.9,23,12,1,3,2001
"S01000905",293,32,22,4,47,129,60.07,29.01,10.92,49,10,0,0,2001
"S01000906",233,60,5,1,70,79,64.38,9.87,25.75,11,6,1,0,2001
"S01000907",433,133,3,1,83,166,57.97,11.09,30.95,36,8,2,1,2001
"S01000908",369,110,0,1,105,86,52.03,13.55,34.42,40,9,1,17,2001
"S01000909",382,43,33,3,79,152,60.47,28.01,11.52,56,15,0,1,2001
"S01000910",324,86,8,3,96,78,54.94,14.81,30.25,29,8,4,12,2001
"S01000911",434,32,10,1,108,235,79.72,12.21,8.06,34,8,3,3,2001
"S01000912",319,52,2,2,84,146,72.41,10.97,16.61,25,6,1,1,2001
"S01000913",336,46,24,3,68,122,56.85,26.19,16.96,50,11,1,11,2001
"S01000914",419,2,10,6,76,264,81.15,18.14,0.72,46,14,0,1,2001
"S01000915",402,28,13,2,86,180,68.41,18.41,13.18,56,3,9,25,2001
"S01000916",432,74,8,3,104,146,58.33,21.3,20.37,73,8,2,14,2001
"S01000917",294,43,9,4,67,106,59.18,25.85,14.97,58,5,1,1,2001
"S01000918",275,3,20,1,53,124,64.36,34.18,1.45,66,7,0,1,2001
"S01000919",291,64,3,1,61,109,58.42,15.12,26.46,31,9,0,13,2001
"S01000920",214,31,14,1,50,86,64.49,21.03,14.49,21,9,2,0,2001
"S01000921",294,58,21,6,69,68,46.94,32.99,20.07,66,4,1,1,2001
"S01000922",320,41,15,2,98,114,66.25,20.94,12.81,43,7,0,0,2001
"S01000923",305,68,1,0,145,74,71.8,5.9,22.3,11,6,0,0,2001
"S01000924",377,99,0,0,112,51,49.6,2.92,47.48,7,4,24,80,2001
"S01000925",381,86,8,1,110,133,64.57,12.34,23.1,26,12,3,2,2001
"S01000926",245,82,1,0,93,49,64.08,2.45,33.47,4,1,15,0,2001
"S01000927",401,141,2,3,154,89,60.85,3.49,35.66,6,3,1,2,2001
"S01000928",444,93,13,1,104,172,62.16,16.67,21.17,46,14,0,1,2001
"S01000929",227,167,1,0,23,21,19.82,5.73,74.45,11,1,1,2,2001
"S01000930",371,286,0,1,39,17,15.09,4.04,80.86,12,2,0,14,2001
"S01000931",303,141,0,0,89,31,39.6,4.95,55.45,12,3,0,27,2001
"S01000932",418,117,4,3,123,121,58.61,12.2,29.19,37,7,1,5,2001
"S01000933",423,30,2,0,152,159,75.89,9.93,14.18,32,8,10,30,2001
"S01000934",549,126,1,2,129,99,42.26,24.59,33.15,123,9,4,56,2001
"S01000935",402,78,2,0,129,132,64.93,10.7,24.38,32,9,0,20,2001
"S01000936",418,99,2,1,145,147,69.86,5.98,24.16,9,13,0,2,2001
"S01000937",284,95,1,1,90,64,54.23,12.32,33.45,29,4,0,0,2001
"S01000938",335,104,0,0,128,78,61.49,4.78,33.73,7,9,0,9,2001
"S01000939",361,72,0,3,107,107,60.66,6.37,32.96,16,4,5,47,2001
"S01000940",367,19,2,3,125,180,83.11,11.72,5.18,19,19,0,0,2001
"S01000941",266,64,1,1,64,76,53.01,9.4,37.59,17,6,1,36,2001
"S01000942",408,107,14,4,107,122,56.62,15.69,27.7,37,9,2,6,2001
"S01000943",380,2,3,1,150,214,95.79,3.42,0.79,6,3,0,1,2001
"S01000944",374,32,0,1,102,170,74.06,9.89,16.04,26,10,5,28,2001
"S01000945",345,58,4,1,125,121,71.59,11.59,16.81,27,8,1,0,2001
"S01000946",319,103,2,1,95,97,60.19,5.33,34.48,12,2,0,7,2001
"S01000947",336,83,5,1,105,101,61.61,13.39,25,35,4,1,1,2001
"S01000948",282,27,12,0,80,119,71.28,18.09,10.64,26,13,2,3,2001
"S01000949",282,0,1,2,76,177,89.72,10.28,0,16,10,0,0,2001
"S01000950",349,47,17,3,66,167,66.76,19.2,14.04,39,8,0,2,2001
"S01000951",319,54,1,1,100,99,62.38,18.81,18.81,45,13,0,6,2001
"S01000952",404,60,2,1,101,136,60.4,5.2,34.41,16,2,7,79,2001
"S01000953",375,3,2,0,149,204,94.4,4.8,0.8,10,6,1,0,2001
"S01000954",360,28,3,3,117,146,73.33,15.28,11.39,41,8,1,13,2001
"S01000955",210,14,1,0,98,87,88.1,3.33,8.57,4,2,0,4,2001
"S01000956",389,219,0,0,116,30,37.53,4.88,57.58,12,7,0,5,2001
"S01000957",231,16,17,4,39,92,57.14,28.14,14.72,35,9,1,18,2001
"S01000958",366,112,0,0,128,91,60.93,3.01,36.07,10,1,4,20,2001
"S01000959",281,10,1,0,134,104,84.7,11.39,3.91,27,4,0,1,2001
"S01000960",263,41,2,0,69,104,67.3,12.17,20.53,22,8,4,13,2001
"S01000961",385,56,1,3,144,141,74.03,9.09,16.88,19,12,0,9,2001
"S01000962",283,51,3,1,90,85,63.6,14.84,21.55,27,11,5,10,2001
"S01000963",328,153,0,0,60,71,41.16,5.18,53.66,11,6,4,23,2001
"S01000964",358,38,17,1,89,161,70.11,18.99,10.89,41,9,1,1,2001
"S01000965",265,172,0,2,54,29,31.32,1.89,66.79,1,2,0,5,2001
"S01000966",471,165,0,0,160,88,52.65,4.46,42.89,11,10,0,37,2001
"S01000967",284,113,0,1,85,65,53.52,5.99,40.49,13,3,2,2,2001
"S01000968",399,43,25,1,130,131,65.41,23.56,11.03,61,7,0,1,2001
"S01000969",466,125,1,0,133,147,60.09,8.15,31.76,19,18,0,23,2001
"S01000970",375,137,1,1,107,106,56.8,4.27,38.93,7,7,0,9,2001
"S01000971",296,119,0,0,93,39,47.64,1.35,51.01,2,2,9,32,2001
"S01000972",380,3,1,2,217,146,95.79,3.42,0.79,5,5,1,0,2001
"S01000973",252,70,0,0,105,64,67.46,4.37,28.17,8,3,1,1,2001
"S01000974",327,14,0,0,182,121,92.66,2.75,4.59,3,6,0,1,2001
"S01000975",245,0,23,1,86,78,66.94,28.57,4.49,42,4,0,11,2001
"S01000976",215,5,7,1,61,84,67.44,30.23,2.33,50,7,0,0,2001
"S01000977",313,60,2,2,129,96,71.88,7.03,21.09,11,7,0,6,2001
"S01000978",322,76,6,1,84,98,56.83,19.57,23.6,45,11,1,0,2001
"S01000979",271,39,4,2,86,107,71.22,14.39,14.39,27,6,0,0,2001
"S01000980",327,57,11,10,86,98,56.27,26.3,17.43,55,10,0,0,2001
"S01000981",244,3,4,5,72,130,82.79,15.98,1.23,21,9,0,0,2001
"S01000982",227,4,11,3,75,105,79.3,18.94,1.76,21,8,0,0,2001
"S01000983",233,34,5,1,64,98,69.53,15.88,14.59,27,4,0,0,2001
"S01000984",276,42,11,1,57,119,64.86,18.12,17.03,35,3,3,5,2001
"S01000985",291,97,1,3,86,72,54.3,5.15,40.55,8,3,0,21,2001
"S01000986",203,54,1,0,68,56,61.08,11.33,27.59,14,8,0,2,2001
"S01000987",250,15,4,0,89,94,73.2,19.6,7.2,37,8,0,3,2001
"S01000988",183,18,7,2,70,67,74.86,15.3,9.84,15,4,0,0,2001
"S01000989",322,3,16,0,131,132,81.99,17.08,0.93,30,9,1,0,2001
"S01000990",337,62,19,7,127,84,62.61,18.4,18.99,32,4,0,2,2001
"S01000991",187,11,8,0,55,58,60.43,33.69,5.88,51,4,0,0,2001
"S01000992",383,83,2,2,138,134,71.02,5.74,23.24,9,9,0,6,2001
"S01000993",338,50,2,2,164,96,77.22,7.69,15.09,19,3,1,1,2001
"S01000994",424,133,14,2,117,112,54.48,11.32,34.2,23,9,2,12,2001
"S01000995",295,2,0,1,221,60,95.59,3.39,1.02,6,3,1,1,2001
"S01000996",474,11,3,3,154,151,68.78,8.44,22.78,28,6,21,97,2001
"S01000997",384,2,1,1,221,150,96.88,2.6,0.52,2,6,1,0,2001
"S01000998",286,104,1,2,89,35,49.65,13.64,36.71,27,9,18,1,2001
"S01000999",269,4,1,0,170,72,89.96,8.18,1.86,20,1,0,1,2001
"S01001000",249,73,0,3,98,55,61.45,9.24,29.32,18,2,0,0,2001
"S01001001",222,12,16,1,54,87,65.32,26.13,8.56,33,8,4,7,2001
"S01001002",291,6,0,0,187,51,85.57,6.19,8.25,14,4,11,18,2001
"S01001003",367,2,1,0,232,117,95.37,4.09,0.54,9,5,1,0,2001
"S01001004",318,5,2,0,124,172,93.08,5.35,1.57,9,6,0,0,2001
"S01001005",352,31,0,0,159,154,88.92,2.27,8.81,5,3,0,0,2001
"S01001006",296,1,0,0,163,122,96.28,3.38,0.34,7,3,0,0,2001
"S01001007",358,128,1,0,129,83,59.78,3.35,36.87,6,5,2,4,2001
"S01001008",385,11,0,0,142,142,73.77,18.96,7.27,64,9,0,17,2001
"S01001009",300,2,0,0,160,101,87.33,11.67,1,28,7,1,1,2001
"S01001010",463,166,0,1,91,92,42.98,16.63,40.39,65,11,16,21,2001
"S01001011",224,14,7,6,48,64,50.45,43.3,6.25,78,6,1,0,2001
"S01001012",315,10,0,0,175,115,92.06,4.44,3.49,11,3,0,1,2001
"S01001013",361,8,3,6,116,129,68.14,13.3,18.56,30,9,1,59,2001
"S01001014",439,34,3,3,71,70,32.35,38.5,29.16,152,11,1,94,2001
"S01001015",293,67,1,1,79,62,57.34,9.56,33.11,20,6,27,30,2001
"S01001016",398,71,13,6,105,138,62.31,14.82,22.86,34,6,5,20,2001
"S01001017",362,123,0,0,119,92,58.29,4.14,37.57,11,4,0,13,2001
"S01001018",414,138,1,0,126,100,54.83,11.11,34.06,37,8,1,3,2001
"S01001019",455,57,0,1,66,32,21.76,11.87,66.37,43,10,1,245,2001
"S01001020",238,77,2,1,66,65,55.04,7.14,37.82,9,5,0,13,2001
"S01001021",442,70,1,3,175,140,71.27,11.76,16.97,39,9,0,5,2001
"S01001022",356,13,2,2,118,123,67.98,18.54,13.48,52,10,1,35,2001
"S01001023",400,8,24,8,84,134,54.5,43.25,2.25,133,8,0,1,2001
"S01001024",327,55,1,0,122,103,72.78,4.28,22.94,8,5,13,20,2001
"S01001025",443,6,5,4,144,225,86.23,11.74,2.03,30,13,13,3,2001
"S01001026",340,68,1,0,129,124,74.41,5.59,20,10,8,0,0,2001
"S01001027",434,74,0,1,145,201,79.72,2.53,17.74,4,6,0,3,2001
"S01001028",318,113,0,0,101,44,45.6,3.14,51.26,8,2,0,50,2001
"S01001029",319,195,0,1,71,39,35.11,1.88,63.01,4,1,2,6,2001
"S01001030",325,1,6,1,120,185,93.85,5.85,0.31,11,1,0,0,2001
"S01001031",395,165,0,0,158,58,54.94,2.28,42.78,4,5,1,4,2001
"S01001032",351,198,1,2,66,47,32.48,3.42,64.1,7,2,1,27,2001
"S01001033",241,138,0,0,63,31,39,1.66,59.34,3,1,0,5,2001
"S01001034",428,317,0,1,59,35,21.96,1.87,76.17,4,3,0,9,2001
"S01001035",198,90,0,0,70,25,48.48,3.54,47.98,7,0,1,5,2001
"S01001036",242,47,0,1,79,21,41.74,4.13,54.13,8,1,1,84,2001
"S01001037",445,218,2,1,114,74,42.7,2.25,55.06,4,3,2,27,2001
"S01001038",334,9,0,0,199,94,88.02,7.49,4.49,21,4,1,6,2001
"S01001039",227,4,20,2,47,96,63,35.24,1.76,57,1,0,0,2001
"S01001040",246,25,5,2,88,99,76.42,13.41,10.16,21,5,1,0,2001
"S01001041",225,0,6,2,115,89,90.67,9.33,0,9,4,0,0,2001
"S01001042",364,0,0,0,256,90,95.05,4.95,0,13,5,0,0,2001
"S01001043",266,2,0,0,188,64,94.74,3.76,1.5,7,3,0,2,2001
"S01001044",453,49,17,6,107,188,65.34,21.19,13.47,60,13,1,12,2001
"S01001045",288,6,0,0,136,137,94.79,2.78,2.43,5,3,0,1,2001
"S01001046",217,48,3,0,63,51,53.46,21.2,25.35,42,1,2,7,2001
"S01001047",304,6,7,3,92,175,87.83,10.2,1.97,18,3,0,0,2001
"S01001048",260,5,0,1,116,130,94.62,3.08,2.31,4,3,0,1,2001
"S01001049",287,113,0,1,103,62,58.19,1.74,40.07,3,1,2,2,2001
"S01001050",405,51,11,6,112,125,58.77,27.65,13.58,86,9,1,4,2001
"S01001051",302,98,1,0,101,57,56.62,2.32,41.06,3,3,13,26,2001
"S01001052",229,115,1,1,72,31,45.41,3.49,51.09,4,2,1,2,2001
"S01001053",344,42,2,3,102,149,74.42,10.17,15.41,20,10,5,11,2001
"S01001054",317,84,5,3,101,81,57.41,16.09,26.5,41,2,0,0,2001
"S01001055",373,109,2,1,98,131,62.73,5.09,32.17,12,4,5,11,2001
"S01001056",345,133,0,0,108,81,54.78,6.67,38.55,15,8,0,0,2001
"S01001057",262,27,21,3,61,75,51.91,36.26,11.83,66,5,0,4,2001
"S01001058",375,83,6,0,127,109,62.93,9.07,28,18,10,0,22,2001
"S01001059",224,157,0,0,47,15,27.68,1.34,70.98,3,0,0,2,2001
"S01001060",324,138,1,0,120,52,53.09,4.01,42.9,5,7,0,1,2001
"S01001061",337,78,7,1,103,96,59.05,17.51,23.44,40,11,0,1,2001
"S01001062",208,9,10,1,60,87,70.67,25,4.33,35,6,0,0,2001
"S01001063",324,43,5,5,109,140,76.85,9.88,13.27,20,2,0,0,2001
"S01001064",373,66,0,0,112,122,63,13.14,23.86,38,11,1,23,2001
"S01001065",366,21,5,4,109,135,66.67,22.13,11.2,54,18,0,20,2001
"S01001066",299,23,10,4,58,136,65.22,26.42,8.36,58,7,1,2,2001
"S01001067",304,10,9,3,74,98,56.58,40.13,3.29,103,7,0,0,2001
"S01001068",371,12,23,9,76,169,66.04,30.73,3.23,72,10,0,0,2001
"S01001069",349,31,14,2,125,100,64.47,24.93,10.6,63,8,0,6,2001
"S01001070",384,35,23,4,95,155,65.1,25.52,9.38,59,12,0,1,2001
"S01001071",253,39,12,3,77,86,64.82,19.76,15.42,24,11,1,0,2001
"S01001072",303,24,16,8,59,64,40.59,51.49,7.92,125,7,0,0,2001
"S01001073",419,43,13,4,125,157,67.78,20.05,12.17,52,15,2,8,2001
"S01001074",219,2,27,2,41,69,50.23,48.86,0.91,75,3,0,0,2001
"S01001075",444,142,1,0,127,148,61.94,5.18,32.88,13,9,0,4,2001
"S01001076",334,17,25,1,86,107,58.38,30.84,10.78,71,6,2,19,2001
"S01001077",380,27,23,8,92,133,59.21,28.42,12.37,68,9,0,20,2001
"S01001078",341,60,8,11,73,110,53.96,24.93,21.11,62,4,1,12,2001
"S01001079",197,5,33,7,40,49,45.18,51.78,3.05,60,2,0,1,2001
"S01001080",271,51,1,1,90,101,70.85,8.49,20.66,16,5,1,5,2001
"S01001081",256,38,10,3,54,100,60.55,18.75,20.7,23,12,1,15,2001
"S01001082",456,101,5,3,124,160,62.72,9.65,27.63,25,11,2,25,2001
"S01001083",340,87,9,1,93,100,57.06,8.53,34.41,15,4,1,30,2001
"S01001084",390,74,3,3,142,146,73.85,6.92,19.23,14,7,0,1,2001
"S01001085",360,137,1,0,129,47,48.89,3.06,48.06,4,6,0,36,2001
"S01001086",309,154,1,1,68,29,31.72,1.29,66.99,2,0,1,53,2001
"S01001087",234,124,2,0,59,44,44.44,2.14,53.42,1,2,1,1,2001
"S01001088",426,175,8,2,91,88,42.25,8.45,49.3,22,4,1,35,2001
"S01001089",412,62,13,3,105,140,59.71,13.35,26.94,32,7,1,49,2001
"S01001090",424,3,1,3,163,146,73.58,23.82,2.59,83,14,3,8,2001
"S01001091",302,4,2,3,109,36,49.01,36.09,14.9,83,21,3,41,2001
"S01001092",469,13,0,0,130,47,38.38,47.97,13.65,215,10,3,51,2001
"S01001093",352,9,1,20,81,43,35.8,43.47,20.74,122,10,2,64,2001
"S01001094",397,1,9,5,181,152,84.13,14.86,1.01,41,4,1,3,2001
"S01001095",382,13,8,78,43,16,15.97,65.97,18.06,163,3,2,56,2001
"S01001096",460,13,0,1,119,53,38.26,37.83,23.91,154,19,4,97,2001
"S01001097",281,2,3,0,125,125,89.32,9.96,0.71,18,7,1,0,2001
"S01001098",273,3,2,2,120,130,91.58,6.96,1.47,13,2,0,1,2001
"S01001099",528,20,1,3,108,37,27.65,46.21,26.14,226,14,1,118,2001
"S01001100",587,204,0,2,144,93,40.89,20.61,38.5,105,14,3,22,2001
"S01001101",411,6,4,1,82,28,29.68,58.39,11.92,219,16,12,43,2001
"S01001102",425,26,0,75,42,38,19.06,54.35,26.59,154,2,1,87,2001
"S01001103",351,3,6,20,98,111,59.54,36.75,3.7,100,3,0,10,2001
"S01001104",378,57,0,0,73,27,26.46,38.62,34.92,140,6,0,75,2001
"S01001105",329,1,2,0,150,168,96.66,3.04,0.3,6,2,0,0,2001
"S01001106",277,1,1,0,180,87,96.75,2.53,0.72,3,3,1,1,2001
"S01001107",604,174,2,4,170,108,47.02,20.53,32.45,106,12,6,22,2001
"S01001108",333,4,3,1,57,19,23.72,38.44,37.84,116,8,3,122,2001
"S01001109",440,136,1,9,73,26,22.73,32.95,44.32,125,10,1,59,2001
"S01001110",449,49,0,0,95,39,30.51,48.11,21.38,205,11,3,47,2001
"S01001111",498,28,1,0,117,39,31.53,42.77,25.7,202,10,1,100,2001
"S01001112",464,9,0,2,157,142,64.44,29.31,6.25,123,11,0,20,2001
"S01001113",462,67,2,17,73,43,25.97,22.08,51.95,79,4,4,173,2001
"S01001114",497,338,1,0,51,39,18.51,11.27,70.22,51,4,2,11,2001
"S01001115",425,193,0,1,120,67,44.94,8.47,46.59,30,5,4,5,2001
"S01001116",321,148,2,1,76,58,42.06,3.12,54.83,5,2,1,28,2001
"S01001117",307,56,1,0,91,30,45.6,13.03,41.37,33,6,19,71,2001
"S01001118",331,9,1,0,104,111,74.02,4.23,21.75,10,3,30,63,2001
"S01001119",568,32,0,3,167,133,52.99,27.99,19.01,134,22,1,76,2001
"S01001120",351,7,0,1,124,128,72.08,14.81,13.11,45,6,1,39,2001
"S01001121",398,84,1,0,129,48,44.47,17.09,38.44,63,4,0,69,2001
"S01001122",401,63,2,0,150,53,51.37,19.2,29.43,68,7,3,55,2001
"S01001123",415,11,2,4,202,151,85.06,7.23,7.71,18,6,0,21,2001
"S01001124",333,48,1,1,85,116,60.96,5.41,33.63,7,9,2,64,2001
"S01001125",347,226,0,0,72,30,29.68,4.61,65.71,13,3,1,2,2001
"S01001126",402,20,3,5,174,190,90.55,3.98,5.47,4,4,0,2,2001
"S01001127",392,70,0,0,172,93,67.86,10.2,21.94,35,5,1,16,2001
"S01001128",258,2,0,0,173,78,97.29,1.94,0.78,3,2,0,0,2001
"S01001129",511,269,0,0,143,62,40.12,5.48,54.4,19,9,0,9,2001
"S01001130",429,175,0,1,154,73,53.15,5.83,41.03,20,4,1,1,2001
"S01001131",387,151,0,0,91,50,37.21,8.79,54.01,31,3,3,58,2001
"S01001132",339,75,2,0,151,76,66.96,8.55,24.48,27,0,0,8,2001
"S01001133",471,45,1,0,104,118,51.59,29.94,18.47,134,6,21,42,2001
"S01001134",399,6,0,2,180,176,89.22,8.77,2.01,25,8,0,2,2001
"S01001135",326,248,1,0,39,23,19.33,2.76,77.91,7,1,1,6,2001
"S01001136",482,38,0,26,114,43,36.31,32.16,31.54,120,9,18,114,2001
"S01001137",530,85,2,3,108,20,26.23,29.81,43.96,149,4,11,148,2001
"S01001138",530,89,1,1,159,71,44.15,31.13,24.72,146,17,4,42,2001
"S01001139",413,191,0,1,98,100,47.94,4.36,47.7,10,7,0,6,2001
"S01001140",583,202,0,0,176,86,44.94,9.95,45.11,55,3,0,61,2001
"S01001141",407,229,0,2,53,25,19.16,14.5,66.34,51,6,0,41,2001
"S01001142",468,5,2,2,160,256,88.89,9.83,1.28,29,13,0,1,2001
"S01001143",337,1,1,2,107,210,94.07,5.04,0.89,8,6,0,2,2001
"S01001144",314,165,0,0,85,56,44.9,2.55,52.55,7,1,0,0,2001
"S01001145",350,174,1,0,76,91,47.71,2,50.29,4,2,0,2,2001
"S01001146",382,2,0,0,191,186,98.95,0.26,0.79,0,1,1,1,2001
"S01001147",382,36,0,28,88,27,30.37,46.34,23.3,138,11,1,53,2001
"S01001148",316,15,0,0,132,156,91.14,3.8,5.06,8,4,0,1,2001
"S01001149",412,91,1,0,152,43,47.57,13.11,39.32,51,2,1,71,2001
"S01001150",384,243,0,0,88,36,32.29,3.65,64.06,13,1,0,3,2001
"S01001151",443,215,0,1,52,40,21.9,3.16,74.94,9,4,5,117,2001
"S01001152",533,214,0,1,163,102,49.91,5.07,45.03,23,3,1,26,2001
"S01001153",362,36,1,0,133,155,79.56,3.04,17.4,5,5,0,27,2001
"S01001154",315,2,1,1,136,160,94.29,4.44,1.27,11,1,1,2,2001
"S01001155",263,5,1,1,121,129,95.06,3.04,1.9,4,2,0,0,2001
"S01001156",406,7,1,1,128,36,40.64,35.96,23.4,133,11,1,88,2001
"S01001157",307,1,0,0,198,105,98.7,0.98,0.33,2,1,0,0,2001
"S01001158",336,169,1,0,76,74,44.94,3.27,51.79,8,2,1,5,2001
"S01001159",355,4,2,2,100,171,83.94,4.51,11.55,12,0,27,37,2001
"S01001160",334,197,1,0,68,54,36.83,3.59,59.58,6,5,1,2,2001
"S01001161",257,36,1,0,127,82,81.32,4.28,14.4,7,3,0,1,2001
"S01001162",371,8,5,4,153,148,81.94,11.32,6.74,26,7,3,17,2001
"S01001163",357,87,0,0,80,22,31.93,25.49,42.58,87,4,12,65,2001
"S01001164",338,165,0,0,82,70,45.56,4.14,50.3,11,3,2,5,2001
"S01001165",428,52,0,5,154,30,42.99,28.5,28.5,110,7,0,70,2001
"S01001166",537,392,0,3,32,29,11.73,7.45,80.82,35,2,2,42,2001
"S01001167",357,2,4,0,154,196,98.04,1.4,0.56,0,1,0,0,2001
"S01001168",398,3,1,0,152,63,54.52,40.45,5.03,147,13,2,17,2001
"S01001169",493,261,2,3,92,60,30.83,7.51,61.66,29,3,0,43,2001
"S01001170",435,292,0,0,80,47,29.66,1.84,68.51,7,1,2,6,2001
"S01001171",285,24,1,0,133,37,75.79,10.18,14.04,25,3,46,16,2001
"S01001172",372,147,1,1,90,36,34.14,23.12,42.74,79,5,1,12,2001
"S01001173",436,204,1,0,125,81,47.71,2.06,50.23,6,2,2,15,2001
"S01001174",359,75,0,1,123,33,44.29,31.48,24.23,102,10,3,12,2001
"S01001175",428,238,0,2,107,60,39.25,3.74,57.01,13,1,1,6,2001
