"datazone","HO.allhouseholds","HO.council","HO.employ","HO.other","HO.ownmortloan","HO.ownoutright","HO.percown","HO.percpriv","HO.percsocial","HO.privlet","HO.relative","HO.sharedown","HO.social","year"
"S01000140",410,116,0,0,160,54,52.68,1.71,45.61,7,0,2,71,2001
"S01000141",381,33,23,1,165,131,78.22,13.12,8.66,23,3,2,0,2001
"S01000142",338,222,0,0,68,41,33.14,0.89,65.98,3,0,3,1,2001
"S01000143",241,1,1,0,119,79,94.19,4.98,0.83,11,0,29,1,2001
"S01000144",305,11,0,1,133,29,55.08,33.77,11.15,75,27,6,23,2001
"S01000145",463,247,0,0,152,52,44.28,0.65,55.08,1,2,1,8,2001
"S01000146",692,61,1,3,181,55,34.68,28.18,37.14,172,19,4,196,2001
"S01000147",456,114,3,0,175,33,52.63,20.18,27.19,69,20,32,10,2001
"S01000148",303,206,0,0,59,26,30.03,1.32,68.65,3,1,6,2,2001
"S01000149",624,145,0,7,191,64,41.51,28.04,30.45,147,21,4,45,2001
"S01000150",278,103,0,2,87,40,46.4,2.88,50.72,2,4,2,38,2001
"S01000151",481,355,0,1,66,38,21.62,0.83,77.55,1,2,0,18,2001
"S01000152",454,19,2,0,219,100,72.69,12.56,14.76,43,12,11,48,2001
"S01000153",342,120,0,0,78,31,38.6,16.67,44.74,46,11,23,33,2001
"S01000154",250,100,0,0,94,49,57.6,2.4,40,2,4,1,0,2001
"S01000155",365,187,1,0,95,66,44.11,1.37,54.52,1,3,0,12,2001
"S01000156",509,234,0,1,88,38,25.54,24.95,49.51,106,20,4,18,2001
"S01000157",435,302,1,0,65,50,26.9,2.76,70.34,7,4,2,4,2001
"S01000158",454,253,3,1,105,73,39.65,3.96,56.39,6,8,2,3,2001
"S01000159",344,4,1,1,243,69,93.02,5.81,1.16,17,1,8,0,2001
"S01000160",337,139,1,4,127,59,55.79,2.97,41.25,3,2,2,0,2001
"S01000161",408,6,0,0,206,107,78.68,19.61,1.72,61,19,8,1,2001
"S01000162",433,190,0,0,118,97,50.12,4.85,45.03,12,9,2,5,2001
"S01000163",429,227,0,1,137,60,46.39,0.23,53.38,0,0,2,2,2001
"S01000164",347,113,3,1,54,55,47.55,13.83,38.62,35,9,56,21,2001
"S01000165",483,239,1,2,106,68,36.44,5.59,57.97,19,5,2,41,2001
"S01000166",560,61,20,4,194,102,53.57,35,11.43,143,29,4,3,2001
"S01000167",316,115,1,0,113,58,54.11,2.85,43.04,4,4,0,21,2001
"S01000168",387,191,1,0,125,60,48.06,1.81,50.13,4,2,1,3,2001
"S01000169",345,120,0,0,130,87,63.19,1.74,35.07,3,3,1,1,2001
"S01000170",506,40,3,0,211,125,67.59,23.91,8.5,93,25,6,3,2001
"S01000171",336,1,0,0,268,35,94.35,2.08,3.57,7,0,14,11,2001
"S01000172",213,54,0,0,83,66,71.36,2.82,25.82,1,5,3,1,2001
"S01000173",362,205,0,0,89,46,37.85,4.42,57.73,11,5,2,4,2001
"S01000174",286,1,3,1,207,55,91.96,7.69,0.35,18,0,1,0,2001
"S01000175",297,18,2,1,74,20,46.46,21.89,31.65,46,16,44,76,2001
"S01000176",384,53,1,0,153,52,56.77,25,18.23,77,18,13,17,2001
"S01000177",269,15,0,0,144,70,80.67,11.9,7.43,18,14,3,5,2001
"S01000178",308,140,0,1,92,53,47.4,0.97,51.62,0,2,1,19,2001
"S01000179",457,403,0,0,22,20,9.63,0.66,89.72,3,0,2,7,2001
"S01000180",275,54,0,0,113,52,60.36,1.45,38.18,3,1,1,51,2001
"S01000181",236,101,0,0,74,25,42.8,2.12,55.08,4,1,2,29,2001
"S01000182",334,169,0,1,113,44,47.6,1.2,51.2,1,2,2,2,2001
"S01000183",477,247,0,4,81,44,26.42,20.13,53.46,71,21,1,8,2001
"S01000184",371,49,0,3,140,147,77.63,9.16,13.21,24,7,1,0,2001
"S01000185",474,368,0,1,22,33,15.82,3.38,80.8,11,4,20,15,2001
"S01000186",499,177,2,0,128,167,61.92,2.4,35.67,7,3,14,1,2001
"S01000187",246,131,0,1,67,39,43.09,0.81,56.1,0,1,0,7,2001
"S01000188",453,224,35,8,55,42,22.08,23.18,54.75,59,3,3,24,2001
