General Register Office for Scotland 2001 Census of Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration by Qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 4 or 5,Level 4 or 5,Level 4 or 5,Level 4 or 5,Outflow (moved out of area but within Scotland) All people in households aged 25 to 74,Outflow (moved out of area but within Scotland) No quals/ Level 1/ Other,Outflow (moved out of area but within Scotland) Level 2 or 3,Outflow (moved out of area but within Scotland) Level 4 or 5,Outflow - Moved out of Scotland to E & W  All people in households aged 25 to 74,Outflow - Moved out of Scotland to E & W No quals/Level 1/Other,Outflow - Moved out of Scotland to E & W Level 2 or 3,Outflow - Moved out of Scotland to E & W Level 4 or 5,Outflow - Moved out of Scotland to NI All people in households aged 25 to 74,Outflow - Moved out of Scotland to NI No quals/Level 1/Other,Outflow - MOved out of Scotland to NI Level 2 or 3,Outflow - Moved out of Scotland to NI Level 4 or 5
,Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),,,,,,,,,,,,
S01003173,292,1,46,5,101,-,5,2,71,-,13,-,120,1,28,3,56,13,13,30,5,-,-,5,-,-,-,-
S01003174,454,3,37,9,250,2,18,1,93,-,10,3,111,1,9,5,45,18,13,14,3,-,-,3,-,-,-,-
S01003175,462,1,45,1,333,1,31,-,80,-,4,-,49,-,10,1,47,19,15,13,6,3,-,3,3,3,-,-
S01003176,451,4,88,11,168,-,14,2,116,-,31,1,167,4,43,8,96,28,24,44,3,-,-,3,-,-,-,-
S01003177,613,-,61,8,213,-,7,3,117,-,20,1,283,-,34,4,74,17,20,37,3,3,-,-,-,-,-,-
S01003178,435,12,8,-,370,12,7,-,44,-,1,-,21,-,-,-,57,39,11,7,3,3,-,-,-,-,-,-
S01003179,356,6,40,5,223,5,18,1,70,1,10,-,63,-,12,4,54,35,10,9,3,3,-,-,-,-,-,-
S01003180,431,2,15,-,302,2,12,-,89,-,1,-,40,-,2,-,17,12,4,1,-,-,-,-,-,-,-,-
S01003181,535,1,27,2,466,1,22,-,49,-,4,-,20,-,1,2,41,33,4,4,-,-,-,-,3,3,-,-
S01003182,435,4,24,1,364,4,18,1,48,-,5,-,23,-,1,-,36,31,3,2,-,-,-,-,-,-,-,-
S01003183,419,-,57,7,226,-,23,2,95,-,10,-,98,-,24,5,56,10,18,28,7,4,3,-,-,-,-,-
S01003184,438,11,20,-,389,11,18,-,36,-,2,-,13,-,-,-,34,27,2,5,-,-,-,-,-,-,-,-
S01003185,296,1,20,1,237,1,13,1,30,-,2,-,29,-,5,-,20,12,6,2,4,-,-,4,-,-,-,-
S01003186,497,1,76,10,133,-,12,2,90,1,14,3,274,-,50,5,56,10,8,38,6,3,3,-,-,-,-,-
S01003187,571,-,75,11,189,-,20,3,134,-,10,1,248,-,45,7,109,25,36,48,9,-,3,6,-,-,-,-
S01003188,454,1,54,10,274,1,26,5,81,-,10,-,99,-,18,5,55,28,13,14,11,7,-,4,-,-,-,-
S01003189,451,7,70,8,262,-,31,5,101,1,20,-,88,6,19,3,81,33,13,35,7,-,3,4,3,-,-,3
S01003190,446,1,38,3,312,1,27,1,75,-,6,1,59,-,5,1,18,10,3,5,8,3,-,5,-,-,-,-
S01003191,285,1,53,2,172,-,23,1,75,-,13,-,38,1,17,1,42,25,8,9,6,3,3,-,-,-,-,-
S01003192,464,8,75,8,235,2,25,4,110,4,20,1,119,2,30,3,77,38,18,21,15,-,3,12,-,-,-,-
S01003193,416,3,33,4,263,2,14,4,95,1,10,-,58,-,9,-,28,16,9,3,8,-,3,5,-,-,-,-
S01003194,489,2,29,4,426,2,26,1,48,-,2,1,15,-,1,2,23,20,-,3,-,-,-,-,-,-,-,-
S01003195,479,3,22,3,286,1,15,2,111,2,1,-,82,-,6,1,21,7,6,8,-,-,-,-,-,-,-,-
S01003196,569,-,38,2,184,-,9,-,103,-,9,1,282,-,20,1,57,17,20,20,9,-,-,9,-,-,-,-
S01003197,412,3,18,2,225,3,9,-,90,-,2,1,97,-,7,1,29,9,5,15,-,-,-,-,-,-,-,-
S01003198,493,6,52,4,347,6,34,1,79,-,9,-,67,-,9,3,58,36,10,12,-,-,-,-,-,-,-,-
S01003199,533,4,27,-,421,4,11,-,79,-,12,-,33,-,4,-,24,15,7,2,-,-,-,-,-,-,-,-
S01003200,403,-,41,2,282,-,18,1,55,-,15,-,66,-,8,1,53,20,12,21,4,-,-,4,6,3,-,3
S01003201,407,25,30,1,356,24,25,1,33,-,2,-,18,1,3,-,87,69,9,9,3,3,-,-,-,-,-,-
S01003202,567,3,27,2,489,3,20,1,45,-,2,-,33,-,5,1,27,21,5,1,-,-,-,-,-,-,-,-
S01003203,503,-,39,-,365,-,16,-,67,-,11,-,71,-,12,-,26,13,8,5,-,-,-,-,-,-,-,-
S01003204,555,2,32,2,432,2,20,1,89,-,10,-,34,-,2,1,50,36,8,6,-,-,-,-,-,-,-,-
S01003205,493,6,43,1,403,5,31,-,46,1,7,1,44,-,5,-,46,33,6,7,3,-,-,3,-,-,-,-
S01003206,445,2,57,3,321,2,30,1,85,-,16,1,39,-,11,1,49,24,15,10,-,-,-,-,3,-,3,-
S01003207,392,5,55,8,217,5,16,1,64,-,10,3,111,-,29,4,76,29,19,28,5,-,-,5,-,-,-,-
S01003208,440,6,35,-,393,6,25,-,34,-,7,-,13,-,3,-,36,24,8,4,-,-,-,-,-,-,-,-
S01003209,340,-,36,-,236,-,25,-,51,-,5,-,53,-,6,-,18,10,4,4,-,-,-,-,-,-,-,-
S01003210,436,4,54,9,120,3,13,2,55,-,5,-,261,1,36,7,40,5,10,25,8,3,-,5,-,-,-,-
S01003211,369,-,47,1,213,-,19,1,47,-,7,-,109,-,21,-,53,17,15,21,5,-,-,5,3,-,-,3
S01003212,430,1,33,2,247,1,13,1,97,-,13,-,86,-,7,1,35,14,11,10,3,3,-,-,-,-,-,-
S01003213,321,1,16,2,226,1,11,2,60,-,5,-,35,-,-,-,29,20,2,7,-,-,-,-,-,-,-,-
S01003214,533,-,18,-,454,-,13,-,50,-,3,-,29,-,2,-,20,12,5,3,-,-,-,-,-,-,-,-
S01003215,527,6,58,3,425,4,35,1,69,-,14,2,33,2,9,-,24,14,7,3,3,3,-,-,3,-,3,-
S01003216,446,1,24,-,338,-,12,-,66,1,4,-,42,-,8,-,13,5,4,4,-,-,-,-,-,-,-,-
S01003217,442,16,25,4,380,14,24,3,43,-,1,-,19,2,-,1,104,84,12,8,-,-,-,-,-,-,-,-
S01003218,427,3,24,-,301,-,15,-,81,3,8,-,45,-,1,-,18,10,7,1,4,4,-,-,-,-,-,-
S01003219,441,4,28,1,333,2,15,-,72,-,8,1,36,2,5,-,20,11,5,4,-,-,-,-,-,-,-,-
S01003220,396,-,41,2,223,-,16,2,58,-,9,-,115,-,16,-,25,9,3,13,5,-,-,5,-,-,-,-
S01003221,407,5,52,2,281,3,29,1,81,1,11,-,45,1,12,1,37,29,6,2,-,-,-,-,-,-,-,-
S01003222,359,21,46,2,204,11,8,-,70,5,11,1,85,5,27,1,57,36,7,14,3,-,-,3,-,-,-,-
S01003223,493,4,41,3,400,4,30,3,59,-,6,-,34,-,5,-,45,33,6,6,-,-,-,-,-,-,-,-
S01003224,480,-,27,-,293,-,13,-,83,-,11,-,104,-,3,-,31,19,8,4,-,-,-,-,-,-,-,-
S01003225,552,5,13,-,450,5,10,-,66,-,1,-,36,-,2,-,23,16,4,3,-,-,-,-,-,-,-,-
S01003226,439,1,28,1,386,1,24,1,35,-,2,-,18,-,2,-,34,24,6,4,-,-,-,-,-,-,-,-
S01003227,466,2,50,1,259,2,17,-,82,-,11,-,125,-,22,1,54,29,11,14,3,-,-,3,-,-,-,-
S01003228,507,2,33,-,405,2,22,-,74,-,-,-,28,-,11,-,25,17,5,3,3,-,-,3,-,-,-,-
S01003229,568,-,40,2,121,-,3,-,96,-,8,-,351,-,29,2,30,5,4,21,3,-,-,3,-,-,-,-
S01003230,480,4,31,1,352,2,16,-,60,-,5,-,68,2,10,1,39,22,13,4,3,-,-,3,-,-,-,-
S01003231,593,3,26,-,519,2,16,-,54,1,7,-,20,-,3,-,23,17,4,2,3,3,-,-,-,-,-,-
S01003232,453,1,43,3,319,1,28,1,85,-,8,1,49,-,7,1,51,32,10,9,5,5,-,-,-,-,-,-
S01003233,594,-,24,2,323,-,14,2,139,-,5,-,132,-,5,-,23,9,5,9,-,-,-,-,-,-,-,-
S01003234,482,2,39,2,138,-,8,-,80,1,5,-,264,1,26,2,37,5,2,30,6,-,-,6,-,-,-,-
S01003235,449,4,44,5,327,2,22,4,74,2,16,1,48,-,6,-,33,23,6,4,-,-,-,-,-,-,-,-
S01003236,372,7,33,6,236,3,16,2,48,1,5,2,88,3,12,2,63,24,10,29,15,9,3,3,-,-,-,-
S01003237,634,4,13,1,537,2,10,1,78,2,1,-,19,-,2,-,9,4,4,1,3,3,-,-,-,-,-,-
S01003238,423,-,35,-,282,-,22,-,91,-,10,-,50,-,3,-,40,20,16,4,-,-,-,-,-,-,-,-
S01003239,551,3,35,-,403,3,24,-,108,-,7,-,40,-,4,-,42,24,10,8,-,-,-,-,-,-,-,-
S01003240,408,1,48,2,249,-,27,-,91,1,11,1,68,-,10,1,61,27,17,17,3,3,-,-,-,-,-,-
S01003241,497,2,23,-,302,1,12,-,121,1,7,-,74,-,4,-,15,6,2,7,-,-,-,-,-,-,-,-
S01003242,580,9,44,-,280,7,24,-,111,-,5,-,189,2,15,-,55,13,17,25,7,3,-,4,3,-,-,3
S01003243,503,1,47,1,344,1,31,-,87,-,6,-,72,-,10,1,30,17,6,7,-,-,-,-,-,-,-,-
S01003244,587,11,42,-,503,8,31,-,45,3,8,-,39,-,3,-,33,22,4,7,3,3,-,-,-,-,-,-
S01003245,550,15,11,2,469,13,10,1,52,1,-,1,29,1,1,-,51,37,12,2,-,-,-,-,-,-,-,-
S01003246,663,3,57,-,543,3,43,-,83,-,10,-,37,-,4,-,28,23,4,1,-,-,-,-,-,-,-,-
S01003247,354,1,70,-,278,1,60,-,47,-,6,-,29,-,4,-,28,16,10,2,-,-,-,-,-,-,-,-
S01003248,495,5,32,3,392,5,26,1,70,-,6,1,33,-,-,1,34,17,7,10,3,3,-,-,-,-,-,-
S01003249,444,3,33,-,308,1,15,-,78,-,11,-,58,2,7,-,35,14,2,19,-,-,-,-,-,-,-,-
S01003250,312,-,28,-,229,-,17,-,50,-,2,-,33,-,9,-,22,12,5,5,-,-,-,-,-,-,-,-
S01003251,498,11,39,-,429,8,33,-,41,2,4,-,28,1,2,-,28,23,4,1,-,-,-,-,-,-,-,-
S01003252,464,-,19,1,282,-,6,-,112,-,6,-,70,-,7,1,32,15,10,7,-,-,-,-,-,-,-,-
S01003253,455,12,27,-,410,10,24,-,26,-,2,-,19,2,1,-,124,107,14,3,3,3,-,-,-,-,-,-
S01003254,343,2,30,1,304,2,26,-,24,-,4,1,15,-,-,-,18,14,2,2,-,-,-,-,-,-,-,-
S01003255,495,2,28,2,358,-,17,1,93,1,6,-,44,1,5,1,39,22,14,3,-,-,-,-,-,-,-,-
S01003256,440,11,45,3,315,10,20,2,74,1,10,-,51,-,15,1,61,43,8,10,-,-,-,-,-,-,-,-
S01003257,421,-,23,5,231,-,8,3,60,-,5,-,130,-,10,2,32,13,7,12,6,3,-,3,-,-,-,-
S01003258,547,1,29,-,376,-,15,-,105,1,9,-,66,-,5,-,23,9,6,8,-,-,-,-,-,-,-,-
S01003259,607,5,30,1,385,2,14,-,157,3,13,1,65,-,3,-,40,24,9,7,3,3,-,-,-,-,-,-
S01003260,496,1,18,-,273,1,10,-,114,-,5,-,109,-,3,-,34,15,9,10,3,-,3,-,-,-,-,-
S01003261,652,3,19,2,349,2,8,-,161,1,7,1,142,-,4,1,29,11,10,8,-,-,-,-,-,-,-,-
S01003262,431,2,42,5,317,1,24,2,74,1,8,1,40,-,10,2,44,35,6,3,9,3,3,3,-,-,-,-
S01003263,356,-,30,-,309,-,26,-,35,-,3,-,12,-,1,-,24,19,3,2,-,-,-,-,-,-,-,-
S01003264,341,1,16,5,220,-,12,-,50,1,2,-,71,-,2,5,21,11,3,7,3,-,-,3,-,-,-,-
S01003265,412,3,33,-,248,2,18,-,78,1,10,-,86,-,5,-,18,3,5,10,3,3,-,-,-,-,-,-
S01003266,484,1,21,-,403,1,19,-,53,-,1,-,28,-,1,-,22,11,10,1,-,-,-,-,-,-,-,-
S01003267,550,4,45,2,431,3,34,-,69,1,6,1,50,-,5,1,41,24,6,11,3,3,-,-,-,-,-,-
S01003268,393,9,77,5,220,8,51,1,91,1,9,-,82,-,17,4,38,11,11,16,8,-,5,3,-,-,-,-
S01003269,542,3,29,2,417,2,22,2,75,1,5,-,50,-,2,-,46,38,7,1,6,3,-,3,-,-,-,-
S01003270,442,2,53,2,347,2,30,-,55,-,10,-,40,-,13,2,51,25,14,12,4,-,-,4,-,-,-,-
S01003271,523,3,62,10,349,2,26,2,103,-,15,2,71,1,21,6,54,29,3,22,7,-,-,7,3,-,-,3
S01003272,508,18,57,2,431,13,45,2,56,3,7,-,21,2,5,-,44,33,8,3,-,-,-,-,-,-,-,-
S01003273,493,2,38,-,417,2,32,-,53,-,3,-,23,-,3,-,43,33,9,1,3,-,-,3,3,3,-,-
S01003274,713,3,42,2,592,2,28,1,85,-,9,-,36,1,5,1,73,57,6,10,-,-,-,-,-,-,-,-
S01003275,599,11,65,2,491,9,48,2,74,2,8,-,34,-,9,-,34,23,8,3,6,-,3,3,-,-,-,-
S01003276,472,7,20,3,276,3,7,2,117,3,6,-,79,1,7,1,28,11,9,8,-,-,-,-,-,-,-,-
S01003277,430,-,28,-,330,-,22,-,68,-,3,-,32,-,3,-,19,10,5,4,-,-,-,-,-,-,-,-
S01003278,465,-,39,1,272,-,19,-,91,-,10,1,102,-,10,-,39,15,13,11,-,-,-,-,-,-,-,-
S01003279,269,14,9,1,244,13,8,-,18,1,1,1,7,-,-,-,49,44,3,2,3,3,-,-,-,-,-,-
S01003280,594,2,48,3,253,2,23,1,121,-,8,-,220,-,17,2,55,20,13,22,6,-,-,6,3,-,-,3
S01003281,448,3,22,2,350,3,19,2,67,-,1,-,31,-,2,-,36,29,3,4,-,-,-,-,-,-,-,-
S01003282,476,-,23,3,230,-,10,1,111,-,9,1,135,-,4,1,23,8,11,4,-,-,-,-,-,-,-,-
S01003283,434,1,10,-,251,1,6,-,103,-,4,-,80,-,-,-,17,7,3,7,-,-,-,-,-,-,-,-
S01003284,590,5,35,1,455,5,17,-,85,-,15,1,50,-,3,-,27,17,4,6,-,-,-,-,-,-,-,-
S01003285,507,2,53,4,361,2,36,-,83,-,4,2,63,-,13,2,53,24,17,12,8,-,3,5,-,-,-,-
S01003286,599,3,54,1,401,2,33,-,96,-,7,-,102,1,14,1,40,23,8,9,3,-,-,3,-,-,-,-
S01003287,246,2,18,2,202,1,15,2,29,1,2,-,15,-,1,-,24,15,7,2,3,-,-,3,-,-,-,-
S01003288,461,4,19,4,257,2,8,2,110,-,9,-,94,2,2,2,19,4,7,8,-,-,-,-,-,-,-,-
S01003289,347,8,14,-,291,6,9,-,44,-,3,-,12,2,2,-,26,22,3,1,-,-,-,-,-,-,-,-
S01003290,457,-,29,2,331,-,21,1,74,-,5,-,52,-,3,1,39,33,3,3,3,3,-,-,-,-,-,-
S01003291,466,2,18,-,393,1,16,-,48,-,1,-,25,1,1,-,17,11,5,1,-,-,-,-,-,-,-,-
S01003292,477,3,16,1,288,2,12,-,111,1,4,-,78,-,-,1,12,5,3,4,-,-,-,-,-,-,-,-
S01003293,542,1,40,2,482,1,37,1,41,-,3,-,19,-,-,1,21,14,6,1,-,-,-,-,-,-,-,-
S01003294,504,2,35,5,382,2,15,2,70,-,10,-,52,-,10,3,28,19,7,2,-,-,-,-,-,-,-,-
S01003295,619,-,44,-,391,-,30,-,136,-,10,-,92,-,4,-,41,19,11,11,3,-,-,3,-,-,-,-
S01003296,365,5,30,1,329,4,24,-,25,1,5,-,11,-,1,1,46,38,4,4,3,3,-,-,-,-,-,-
S01003297,325,-,16,1,255,-,4,-,36,-,7,1,34,-,5,-,22,12,5,5,-,-,-,-,-,-,-,-
S01003298,657,5,38,1,435,3,17,-,109,2,13,-,113,-,8,1,39,23,11,5,-,-,-,-,-,-,-,-
S01003299,259,1,18,-,210,1,17,-,29,-,1,-,20,-,-,-,22,17,4,1,-,-,-,-,-,-,-,-
S01003300,489,-,26,-,356,-,15,-,88,-,8,-,45,-,3,-,25,15,7,3,-,-,-,-,-,-,-,-
S01003301,432,5,26,1,345,4,22,1,68,1,1,-,19,-,3,-,30,20,8,2,3,3,-,-,-,-,-,-
S01003302,586,9,40,2,453,6,19,2,71,-,12,-,62,3,9,-,47,26,9,12,6,-,3,3,-,-,-,-
S01003303,490,5,153,29,180,2,40,4,122,1,43,2,188,2,70,23,89,32,20,37,19,4,4,11,-,-,-,-
S01003304,393,-,48,5,216,-,16,2,97,-,16,1,80,-,16,2,90,40,24,26,7,3,-,4,-,-,-,-
S01003305,421,2,49,2,265,1,35,1,102,1,7,1,54,-,7,-,31,19,7,5,-,-,-,-,-,-,-,-
S01003306,580,1,22,-,476,-,17,-,62,1,5,-,42,-,-,-,8,6,1,1,-,-,-,-,-,-,-,-
S01003307,655,2,41,1,530,2,25,-,87,-,12,-,38,-,4,1,31,20,6,5,3,3,-,-,-,-,-,-
S01003308,512,-,34,-,429,-,28,-,57,-,4,-,26,-,2,-,38,24,9,5,-,-,-,-,-,-,-,-
S01003309,426,2,28,2,362,-,18,1,45,2,8,1,19,-,2,-,40,33,6,1,-,-,-,-,-,-,-,-
S01003310,472,2,21,2,360,2,14,2,70,-,3,-,42,-,4,-,26,14,6,6,3,-,3,-,-,-,-,-
S01003311,462,4,36,-,285,4,15,-,111,-,6,-,66,-,15,-,21,13,5,3,-,-,-,-,-,-,-,-
S01003312,341,-,29,1,278,-,19,-,41,-,6,-,22,-,4,1,19,14,4,1,-,-,-,-,-,-,-,-
S01003313,487,-,39,5,374,-,24,2,71,-,8,1,42,-,7,2,39,33,4,2,5,-,-,5,-,-,-,-
S01003314,340,-,35,-,279,-,28,-,36,-,5,-,25,-,2,-,40,34,6,-,-,-,-,-,-,-,-,-
S01003315,295,-,29,1,159,-,10,-,63,-,5,1,73,-,14,-,46,17,12,17,5,-,-,5,-,-,-,-
S01003316,360,1,39,5,240,1,13,2,55,-,13,2,65,-,13,1,73,37,18,18,3,-,-,3,-,-,-,-
S01003317,414,5,34,2,299,4,16,2,81,1,17,-,34,-,1,-,45,21,19,5,6,3,3,-,-,-,-,-
S01003318,493,2,25,1,324,1,11,-,112,-,9,1,57,1,5,-,23,13,5,5,-,-,-,-,-,-,-,-
S01003319,337,3,19,-,295,3,15,-,29,-,-,-,13,-,4,-,42,30,9,3,-,-,-,-,-,-,-,-
S01003320,320,-,49,4,169,-,15,2,56,-,17,1,95,-,17,1,57,24,15,18,10,-,3,7,-,-,-,-
S01003321,499,-,17,-,326,-,11,-,113,-,4,-,60,-,2,-,22,11,7,4,-,-,-,-,-,-,-,-
S01003322,451,4,63,6,285,2,33,-,90,1,14,1,76,1,16,5,72,32,26,14,10,4,3,3,-,-,-,-
S01003323,324,-,77,-,212,-,22,-,74,-,22,-,38,-,33,-,15,10,2,3,3,-,3,-,-,-,-,-
S01003324,477,-,45,3,327,-,20,-,94,-,6,1,56,-,19,2,42,30,6,6,3,-,-,3,-,-,-,-
S01003325,463,-,34,1,302,-,21,1,108,-,9,-,53,-,4,-,39,22,13,4,-,-,-,-,-,-,-,-
S01003326,491,-,18,-,371,-,14,-,74,-,3,-,46,-,1,-,21,9,6,6,9,3,3,3,-,-,-,-
S01003327,366,-,27,2,249,-,14,-,60,-,6,-,57,-,7,2,45,23,11,11,-,-,-,-,-,-,-,-
S01003328,306,2,53,17,106,1,12,3,71,1,9,2,129,-,32,12,57,22,9,26,13,3,-,10,3,3,-,-
S01003329,501,1,26,-,377,-,12,-,77,1,7,-,47,-,7,-,33,19,9,5,9,3,3,3,-,-,-,-
S01003330,554,6,37,1,293,3,17,-,138,2,11,-,123,1,9,1,37,11,16,10,-,-,-,-,-,-,-,-
S01003331,385,5,19,1,338,4,15,1,28,1,2,-,19,-,2,-,12,11,-,1,-,-,-,-,-,-,-,-
S01003332,341,8,25,-,299,8,20,-,29,-,5,-,13,-,-,-,17,13,2,2,-,-,-,-,-,-,-,-
S01003333,484,2,35,3,399,2,26,1,52,-,7,-,33,-,2,2,45,33,9,3,-,-,-,-,-,-,-,-
S01003334,495,9,39,2,405,7,18,-,67,1,9,-,23,1,12,2,31,22,5,4,3,3,-,-,-,-,-,-
S01003335,330,2,66,5,168,1,18,2,66,-,22,2,96,1,26,1,42,16,13,13,6,-,-,6,3,-,-,3
S01003336,623,-,27,-,548,-,21,-,56,-,4,-,19,-,2,-,12,10,2,-,-,-,-,-,-,-,-,-
S01003337,480,3,18,1,429,3,16,1,35,-,2,-,16,-,-,-,25,20,3,2,3,-,-,3,-,-,-,-
S01003338,548,7,55,4,398,7,33,2,77,-,8,-,73,-,14,2,51,27,12,12,3,-,-,3,-,-,-,-
S01003339,456,-,27,3,338,-,22,3,76,-,4,-,42,-,1,-,28,10,15,3,-,-,-,-,-,-,-,-
S01003340,674,7,38,3,535,6,21,3,96,1,12,-,43,-,5,-,45,36,2,7,6,3,3,-,-,-,-,-
S01003341,444,-,39,-,251,-,23,-,120,-,10,-,73,-,6,-,35,23,4,8,-,-,-,-,-,-,-,-
S01003342,542,5,28,-,465,3,24,-,53,-,2,-,24,2,2,-,43,33,8,2,-,-,-,-,-,-,-,-
S01003343,301,32,7,-,268,30,6,-,24,2,1,-,9,-,-,-,18,15,2,1,3,3,-,-,-,-,-,-
S01003344,363,2,16,-,294,2,12,-,51,-,3,-,18,-,1,-,35,25,8,2,-,-,-,-,-,-,-,-
S01003345,551,5,45,2,404,4,30,-,105,1,11,-,42,-,4,2,52,32,13,7,-,-,-,-,-,-,-,-
S01003346,552,2,31,4,464,2,22,1,52,-,4,-,36,-,5,3,26,15,5,6,3,3,-,-,-,-,-,-
S01003347,462,13,56,1,409,11,50,1,44,1,4,-,9,1,2,-,23,18,4,1,-,-,-,-,-,-,-,-
S01003348,498,4,102,25,240,1,31,3,104,-,18,5,154,3,53,17,72,24,13,35,14,3,6,5,-,-,-,-
S01003349,492,9,8,1,411,7,4,-,55,2,4,1,26,-,-,-,29,25,4,-,-,-,-,-,-,-,-,-
S01003350,390,3,27,-,338,3,18,-,32,-,7,-,20,-,2,-,21,16,5,-,-,-,-,-,-,-,-,-
S01003351,535,4,66,7,371,3,36,2,83,1,18,1,81,-,12,4,102,58,23,21,-,-,-,-,-,-,-,-
S01003352,463,6,25,-,395,6,17,-,44,-,7,-,24,-,1,-,47,43,2,2,-,-,-,-,-,-,-,-
S01003353,552,4,26,-,455,3,10,-,70,1,10,-,27,-,6,-,33,27,2,4,-,-,-,-,-,-,-,-
S01003354,643,3,23,1,574,3,20,-,51,-,1,-,18,-,2,1,18,17,-,1,3,3,-,-,-,-,-,-
S01003355,479,6,57,3,374,5,30,1,66,1,11,1,39,-,16,1,18,14,3,1,10,3,3,4,-,-,-,-
S01003356,517,1,20,-,439,1,11,-,56,-,7,-,22,-,2,-,35,20,9,6,3,3,-,-,-,-,-,-
S01003357,516,5,33,-,455,4,26,-,43,1,5,-,18,-,2,-,58,44,11,3,3,-,3,-,-,-,-,-
S01003358,433,4,88,22,170,2,19,2,89,-,23,5,174,2,46,15,87,21,21,45,33,4,5,24,6,3,-,3
S01003359,533,10,73,2,308,6,37,1,136,1,20,-,89,3,16,1,29,15,8,6,6,3,-,3,-,-,-,-
S01003360,434,1,25,1,338,-,19,1,73,1,3,-,23,-,3,-,37,15,2,20,-,-,-,-,-,-,-,-
S01003361,446,-,24,-,383,-,19,-,40,-,4,-,23,-,1,-,16,10,4,2,-,-,-,-,-,-,-,-
S01003362,436,4,24,1,360,4,16,1,57,-,6,-,19,-,2,-,29,19,7,3,-,-,-,-,-,-,-,-
S01003363,496,-,17,-,424,-,14,-,58,-,2,-,14,-,1,-,12,12,-,-,-,-,-,-,-,-,-,-
S01003364,355,1,23,4,274,-,18,3,50,-,3,1,31,1,2,-,37,29,6,2,7,7,-,-,-,-,-,-
S01003365,403,7,51,8,304,5,36,4,54,2,7,-,45,-,8,4,24,15,3,6,3,-,-,3,-,-,-,-
S01003366,289,6,84,25,84,-,8,2,64,-,22,4,141,6,54,19,97,23,14,60,17,-,3,14,-,-,-,-
S01003367,573,10,44,1,471,10,36,-,62,-,4,1,40,-,4,-,55,38,7,10,3,-,3,-,-,-,-,-
S01003368,328,3,64,23,104,-,11,-,58,1,11,3,166,2,42,20,97,23,10,64,24,3,-,21,3,-,-,3
S01003369,482,4,16,-,414,2,10,-,50,2,4,-,18,-,2,-,19,17,1,1,-,-,-,-,-,-,-,-
S01003370,397,-,54,8,218,-,13,-,84,-,11,-,95,-,30,8,72,32,14,26,5,-,-,5,-,-,-,-
S01003371,422,6,35,7,257,-,15,-,83,6,8,-,82,-,12,7,44,16,9,19,3,-,-,3,-,-,-,-
S01003372,438,2,24,1,373,1,18,-,48,1,3,1,17,-,3,-,32,16,9,7,-,-,-,-,-,-,-,-
S01003373,565,3,53,15,355,1,20,1,83,1,17,1,127,1,16,13,83,34,19,30,29,8,-,21,-,-,-,-
S01003374,253,3,20,-,225,3,19,-,23,-,1,-,5,-,-,-,41,32,9,-,-,-,-,-,-,-,-,-
S01003375,456,-,22,-,364,-,8,-,55,-,11,-,37,-,3,-,37,26,9,2,3,3,-,-,-,-,-,-
S01003376,366,3,17,1,311,1,13,1,38,2,4,-,17,-,-,-,38,28,3,7,-,-,-,-,3,3,-,-
S01003377,471,1,24,1,395,1,15,1,55,-,5,-,21,-,4,-,19,16,3,-,6,-,3,3,-,-,-,-
S01003378,488,12,25,7,416,10,22,4,51,2,2,-,21,-,1,3,90,74,13,3,-,-,-,-,-,-,-,-
S01003379,391,11,54,-,353,10,50,-,29,-,3,-,9,1,1,-,46,43,3,-,3,3,-,-,-,-,-,-
S01003380,424,10,52,7,250,4,17,4,69,3,9,-,105,3,26,3,60,21,13,26,7,3,-,4,-,-,-,-
S01003381,498,1,38,1,395,1,35,1,61,-,2,-,42,-,1,-,25,17,7,1,-,-,-,-,-,-,-,-
S01003382,477,3,42,4,321,3,19,-,62,-,6,2,94,-,17,2,78,59,8,11,5,-,-,5,-,-,-,-
S01003383,596,-,14,-,483,-,10,-,83,-,2,-,30,-,2,-,19,9,9,1,3,3,-,-,-,-,-,-
S01003384,632,1,27,-,520,1,18,-,77,-,7,-,35,-,2,-,29,21,7,1,3,-,-,3,-,-,-,-
S01003385,500,5,68,1,264,1,11,-,114,-,17,-,122,4,40,1,61,23,14,24,5,-,-,5,-,-,-,-
