area,percent.rents,white.l00,white.m00,white.h00,black.l00,black.m00,black.h00,asian.l00,asian.m00,asian.h00,hisp.l00,hisp.m00,hisp.h00,other.l00,other.m00,other.h00,white.l09,white.m09,white.h09,black.l09,black.m09,black.h09,asian.l09,asian.m09,asian.h09,hisp.l09,hisp.m09,hisp.h09,other.l09,other.m09,other.h09,medval
700300,0.6967922,1817,985,575,48,51,21,33,63,12,106,110,8,77,95,12,1459,1091,836,43,53,57,43,80,28,126,154,38,110,134,37,233900
700400,0.749411,1625,714,499,63,4,11,79,48,19,148,49,31,139,36,10,1313,664,624,71,1,15,84,73,29,163,91,50,194,54,16,466900
700500,0.6354912,2533,1300,984,115,12,60,63,95,61,245,69,43,198,38,57,2219,1502,1359,131,36,80,77,146,98,313,148,86,324,60,98,431100
700600,0.0600316,215,336,1170,4,0,12,0,0,74,4,0,37,0,12,43,182,304,1367,6,0,14,0,0,107,5,0,57,0,13,71,1000001
700700,0.0739437,102,111,801,0,0,13,5,0,38,4,0,18,19,7,21,92,91,808,0,0,13,6,0,51,5,0,23,27,9,29,1000001
700800,0.7047873,1802,911,1115,48,9,37,92,69,60,74,33,40,121,96,46,1645,1034,1470,30,33,62,120,92,115,98,59,71,197,153,86,778800
700901,0.494171,469,361,412,10,11,8,65,46,47,25,26,5,48,19,6,358,352,506,8,17,10,73,61,78,27,33,17,66,27,13,655700
700902,0.7898845,1200,847,596,48,10,30,131,52,56,61,35,20,92,58,16,887,746,733,52,11,34,143,73,75,67,54,26,118,85,23,766400
701000,0.669228,829,610,987,6,23,19,30,46,42,18,59,10,30,39,17,744,603,1204,2,10,51,32,78,59,21,62,40,46,57,32,1000001
701201,0.1179095,230,205,996,2,0,3,36,9,39,0,10,23,0,8,17,157,194,1008,2,0,3,40,12,55,0,12,30,0,10,23,1000001
701202,0.6484641,573,460,514,6,1,9,53,23,28,40,0,22,5,21,24,397,435,564,6,0,11,57,33,37,41,10,27,7,25,37,526200
701301,0.5296248,837,683,1199,0,20,1,43,48,66,47,22,15,40,33,11,579,550,1189,0,14,8,49,46,81,50,28,21,48,43,16,1000001
701302,0.8101623,1152,784,550,25,0,0,31,51,63,50,36,21,38,53,10,822,655,660,12,14,0,30,61,78,52,51,25,47,68,16,381300
701400,0.8856936,1821,974,743,40,13,28,115,20,66,146,25,32,159,33,17,1454,822,888,46,6,38,129,34,86,167,48,48,219,48,24,359400
701501,0.7769732,1098,693,600,10,19,3,58,53,55,58,39,16,61,29,10,757,615,700,10,19,3,60,66,70,64,39,33,79,39,13,414200
701502,0.8427024,794,438,326,29,6,3,89,20,26,101,55,0,66,52,0,553,385,390,23,15,3,101,24,39,111,71,14,87,66,3,356900
701601,0.3985344,530,441,576,2,8,0,44,37,39,28,24,7,12,21,16,421,436,664,1,8,2,49,42,67,36,31,15,18,29,24,755200
701602,0.7017637,692,544,262,23,8,0,94,57,21,51,57,6,33,54,14,535,438,373,19,15,0,109,75,30,51,75,24,44,75,22,357100
701701,0.7547062,600,450,243,31,7,4,90,39,26,112,48,32,95,40,19,408,376,291,33,8,6,91,63,32,130,69,48,126,55,26,309800
701702,0.917223,591,296,158,52,8,25,63,22,15,160,37,10,151,7,10,407,295,208,47,17,24,66,37,19,170,78,25,193,21,12,328600
701801,0.7633362,632,219,90,218,51,4,182,56,28,615,130,37,433,102,42,444,201,108,176,62,30,169,70,48,685,245,62,507,131,56,317500
701802,0.8207865,491,268,57,292,32,11,68,11,12,356,117,9,256,97,16,350,211,119,249,59,26,75,12,17,414,185,23,315,128,22,288300
701900,0.9745709,951,228,66,57,0,0,74,11,0,87,15,10,90,0,21,857,275,117,69,3,0,96,18,7,115,29,18,136,3,30,1000001
702000,0.7748022,1376,801,496,42,69,5,78,74,0,116,69,50,109,55,32,1005,789,599,43,64,24,84,96,13,155,80,74,150,80,46,500000
702100,0.7390481,1476,832,757,66,30,6,74,69,9,162,67,39,154,34,38,1071,727,822,54,40,15,83,79,22,175,98,63,196,52,53,470100
702201,0.6540046,797,526,375,44,11,0,101,31,10,138,74,9,79,62,27,546,414,407,34,23,0,97,56,12,129,115,26,99,79,39,489000
702202,0.4672131,512,386,434,34,4,3,32,33,34,105,45,28,96,33,6,349,323,495,36,5,6,36,41,47,132,60,46,134,47,11,510100
702300,0.5116122,919,652,664,40,20,4,109,63,99,189,40,69,158,45,43,591,505,690,41,3,24,107,74,131,201,68,98,197,60,58,532800
702400,0.5995807,515,368,130,72,61,0,109,61,32,289,168,24,231,86,34,347,311,175,65,39,33,114,66,48,340,216,58,282,112,48,245800
702501,0.4917569,699,491,308,97,9,0,98,66,53,129,87,34,74,88,7,538,485,408,38,91,5,117,105,71,156,142,72,105,133,19,344000
702502,0.3117448,471,464,267,233,141,66,94,88,13,119,57,0,57,27,35,313,406,341,181,208,100,101,103,40,146,86,14,81,40,46,275000
702600,0.2381579,436,599,488,95,43,0,69,143,98,114,98,48,67,73,23,256,428,553,59,64,16,70,132,144,119,115,83,78,90,35,323500
702700,0.2240437,267,330,259,4,24,0,74,69,27,128,47,23,90,17,6,170,259,322,2,33,0,72,83,54,150,77,43,126,25,10,333300
702801,0.6562173,472,337,152,81,22,4,144,82,42,332,112,80,222,67,37,345,286,221,54,55,10,152,122,56,403,208,119,293,101,52,328600
702802,0.5095613,229,175,94,12,26,0,33,25,9,150,73,24,82,41,28,161,142,115,12,19,10,32,31,16,160,127,34,102,56,40,297800
702803,0.595884,258,172,124,31,0,0,53,7,15,280,72,33,150,52,21,172,178,151,27,6,0,60,12,20,382,83,74,206,76,30,281300
702901,0.9236124,1436,1612,1292,121,108,5,117,166,108,77,58,85,70,75,40,1234,1652,1919,163,84,69,150,238,196,98,65,182,112,117,79,191300
703001,0.5097466,629,495,226,583,432,211,97,103,18,107,56,23,103,50,32,476,533,315,500,600,412,111,139,48,141,102,41,153,77,52,267600
703002,0.2322004,168,211,264,377,632,882,32,49,8,32,37,8,42,52,50,108,138,257,251,537,1020,25,52,16,25,43,26,48,59,64,441100
703100,0.2903646,91,27,62,863,590,529,4,17,0,12,22,12,52,30,29,69,24,46,590,567,676,3,17,2,9,24,22,61,34,34,290800
703200,0.1879195,26,32,27,748,638,636,8,14,4,6,19,12,47,15,33,21,15,32,547,540,826,6,11,10,6,11,28,51,16,44,289800
800101,0.0443686,256,378,948,0,0,14,9,42,45,7,0,34,5,0,33,199,282,1085,0,0,17,12,49,69,5,5,45,5,1,52,507700
800201,0.0997169,465,719,1636,4,4,34,38,38,120,23,12,41,0,47,15,425,702,2120,1,4,56,52,56,202,33,21,71,0,77,35,793200
800202,0.0682249,376,317,722,0,0,8,22,27,57,0,10,32,6,17,0,352,370,996,0,0,12,35,29,114,0,10,59,8,33,0,641600
800302,0.4251996,723,837,819,5,53,3,68,75,38,31,145,18,47,78,25,636,902,1040,2,18,68,83,129,71,45,167,102,77,135,51,346800
800303,0.3478579,671,802,844,24,15,3,48,22,80,43,70,37,7,76,39,648,796,1234,28,16,18,74,48,132,63,114,72,10,135,76,368200
800323,0.0835735,263,730,1151,4,17,2,41,25,94,33,3,43,18,18,6,174,490,1254,4,9,10,39,36,119,38,4,54,22,22,11,448500
800324,0.0993684,386,791,853,0,30,0,32,74,70,35,44,34,5,41,15,314,614,1212,0,12,24,39,79,142,46,67,47,5,62,25,327100
800325,0.1555118,382,473,560,0,3,7,5,0,30,6,25,15,6,14,9,307,361,693,0,1,11,5,2,40,5,40,18,9,19,15,422000
800326,0.177911,493,402,893,1,16,6,31,15,46,39,10,28,24,18,0,373,383,1092,0,21,8,30,29,74,31,35,40,32,29,2,604000
800401,0.2334944,79,133,373,0,0,4,6,3,3,0,0,19,8,0,12,59,101,406,0,0,5,8,2,6,0,0,25,12,0,17,606300
800403,0.1908821,623,660,1195,0,14,11,21,15,14,27,31,27,28,21,28,569,551,1512,0,8,23,26,17,27,35,36,52,43,33,46,994800
800502,0.3844062,295,189,506,6,0,0,16,10,0,17,18,6,21,15,6,212,156,482,6,0,0,18,12,0,17,21,11,28,19,8,1000001
900101,0.2227061,1035,638,173,269,93,5,33,2,4,583,205,12,445,157,28,794,638,302,287,123,26,31,11,5,712,416,22,622,246,44,75300
900102,0.3113773,162,54,10,9,22,0,2,0,0,73,12,0,66,0,0,91,53,10,8,14,5,2,0,0,63,28,0,70,2,0,102800
900200,0.2985972,223,110,37,4,0,0,8,3,0,77,14,0,58,9,0,151,111,44,1,3,0,9,4,0,77,40,0,77,14,0,105200
900300,0.2838235,370,162,40,10,12,0,12,0,0,52,20,0,59,0,0,326,172,73,11,16,0,18,0,0,77,32,0,96,0,0,135900
900501,0.3003761,529,377,134,222,78,0,55,0,7,328,66,7,264,22,7,351,434,185,188,144,33,70,11,8,417,141,32,367,46,15,87200
900502,0.3387097,616,616,150,371,66,25,15,47,21,206,189,24,209,91,4,556,644,300,471,144,53,16,76,41,310,346,69,351,168,14,101900
900503,0.2542998,901,441,134,212,158,30,19,28,13,264,158,30,173,75,21,924,665,254,250,285,101,25,54,29,425,342,108,329,154,53,99900
900504,0.416411,401,276,84,133,84,0,29,26,0,155,75,0,111,58,0,244,256,127,107,104,17,34,27,4,169,110,16,139,78,2,108200
900602,0.3877902,521,87,9,184,10,4,16,0,0,267,40,16,181,30,12,361,121,8,167,21,4,18,0,0,305,62,30,219,36,17,65500
900604,0.2800926,860,450,184,254,125,22,72,27,0,315,190,32,237,96,25,828,535,332,313,221,49,92,67,0,465,390,107,413,177,55,94100
900605,0.1866841,597,248,66,123,65,23,31,3,11,245,52,27,168,37,23,547,342,148,151,119,58,52,3,22,386,136,76,299,82,45,97000
900606,0.5204526,421,154,44,189,29,9,11,13,0,192,59,0,136,49,12,346,145,67,214,41,14,14,16,0,276,93,4,207,67,16,82700
900607,0.4647378,412,207,37,150,8,4,0,17,0,165,74,1,112,67,5,294,166,63,126,32,6,0,17,2,183,92,21,138,80,9,72200
900701,0.4372093,772,308,67,174,13,0,46,6,4,214,59,4,175,45,4,530,278,123,162,35,0,49,8,8,221,98,33,217,64,9,84000
900703,0.7641997,736,241,55,246,69,0,78,12,0,211,37,0,145,32,0,510,286,80,251,74,27,93,11,4,240,81,9,193,45,3,77300
900705,0.6509598,671,425,151,116,59,0,35,11,12,141,67,4,81,47,0,520,466,218,126,63,39,47,16,19,197,116,9,131,75,0,136900
900803,0.249467,642,389,88,180,62,20,41,22,0,262,88,23,162,71,13,530,407,176,186,97,54,50,39,4,356,173,36,244,107,22,88300
900804,0.4460352,369,70,23,101,29,16,16,9,0,170,79,8,110,55,7,298,66,47,82,67,22,19,8,6,225,97,36,148,76,12,75800
900805,0.2825943,608,388,186,71,12,8,22,15,0,129,22,17,67,22,30,453,350,229,69,29,8,23,22,2,157,46,27,92,34,45,94100
900806,0.8377038,827,53,21,151,12,0,33,0,0,254,14,0,170,13,0,674,77,28,162,21,0,40,0,0,320,39,4,233,22,0,89000
900900,0.1464245,407,260,59,6,21,0,14,3,0,53,31,0,47,16,0,353,261,133,7,29,0,21,5,0,67,56,13,79,27,2,142700
901004,0.2661654,321,398,228,54,66,0,18,44,15,55,83,2,58,59,5,315,566,439,100,91,27,32,81,41,88,164,56,121,130,26,142800
901005,0.2734315,649,691,344,201,105,29,51,63,31,202,115,37,198,60,6,507,653,510,226,124,87,55,98,59,304,180,77,314,96,14,140900
901006,0.3587052,1046,960,362,226,82,33,51,59,31,328,138,54,240,51,57,810,881,592,236,127,70,56,87,54,419,220,138,356,87,96,122100
901101,0.252905,572,464,67,29,65,8,34,0,0,126,51,10,101,40,0,570,512,240,46,60,57,52,9,0,190,124,36,190,86,2,129200
901102,0.2804878,537,390,297,44,18,11,19,4,3,159,41,1,100,30,12,460,364,446,46,23,28,18,19,6,217,84,13,156,49,32,142800
901203,0.2385321,300,111,29,12,0,0,14,8,0,52,0,9,36,2,12,165,127,38,12,0,0,12,10,2,55,6,10,45,2,15,134600
901205,0.3212571,844,632,303,88,69,31,11,45,6,108,72,37,101,45,0,1092,746,783,136,93,128,21,91,18,204,151,124,222,111,5,164200
910000,0.2207792,889,726,175,256,129,10,28,4,0,604,240,33,439,163,32,708,665,365,250,158,59,28,16,0,815,362,140,636,249,61,96100
910100,0.5768262,103,14,0,38,0,0,5,3,0,135,51,27,77,30,27,74,23,0,37,0,0,5,2,2,169,64,43,92,38,33,107800
910201,0.2555673,244,243,134,39,38,0,28,0,0,127,48,30,82,35,30,221,248,265,48,11,52,35,13,0,188,85,72,126,56,62,129200
910203,0.1634183,515,847,225,150,118,27,41,68,42,311,248,45,244,164,20,431,798,485,128,196,88,60,99,78,383,397,210,369,272,57,132000
910204,0.0883078,326,650,334,42,166,23,43,46,29,96,140,60,75,85,70,322,630,704,21,215,142,70,62,82,159,250,174,149,165,151,165200
