datazone,Inflow|All people in households|Lived at same address,Inflow|All people in households|Moved within Datazone area,Inflow|All people in households|Inflow (lived elsewhere in Scotland),Inflow|All people in households|Inflow (lived elsewhere outside Scotland but within UK),Inflow|All people in communal establishments|Lived at same address,Inflow|All people in communal establishments|Moved within Datazone area,Inflow|All people in communal establishments|Inflow (lived elsewhere in Scotland),Inflow|All people in communal establishments|Inflow (lived elsewhere outside Scotland but within UK),Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in households|,Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in communal establishments|,Outflow - Moved to England & Wales All people in households|Outflow - Moved to England & Wales All people in households|,Outflow - Moved to England & Wales All people in communal establishments|Outflow - Moved to England & Wales All people in communal establishments|,Outflow - Moved to NI All people in households|Outflow - Moved to NI All people in households|,Outflow - Moved to NI All people in communal establishments|Outflow - Moved to NI All people in communal establishments|
S01003526,661,5,192,37,4,-,15,-,208,6,38,4,-,-
S01003527,838,13,44,1,10,-,-,-,51,3,9,-,-,-
S01003528,575,1,26,2,-,-,-,-,42,-,-,3,-,-
S01003529,454,4,82,3,-,-,-,-,46,-,-,-,-,-
S01003530,585,2,166,28,-,-,-,-,159,2,17,-,-,-
S01003531,695,4,85,5,-,-,-,-,84,6,3,-,-,-
S01003532,995,2,38,5,2,-,12,-,51,8,12,-,-,-
S01003533,638,6,88,4,-,-,-,-,82,2,6,-,3,-
S01003534,831,6,105,1,-,-,-,-,116,9,6,-,3,-
S01003535,669,4,93,6,-,-,-,-,91,4,8,-,-,-
S01003536,859,2,121,22,-,-,-,-,149,4,44,-,3,3
S01003537,704,2,80,3,-,-,-,-,90,5,6,-,-,-
S01003538,619,6,44,1,-,-,-,-,34,1,-,-,-,-
S01003539,856,1,96,15,-,-,-,-,80,5,6,-,-,-
S01003540,858,22,84,-,-,-,-,-,75,6,3,-,3,-
S01003541,728,12,94,16,-,-,-,-,108,6,10,-,-,-
S01003542,686,1,79,17,10,-,28,2,146,8,33,3,-,-
S01003543,682,-,53,1,-,-,-,-,64,2,3,-,-,-
S01003544,434,1,95,10,-,-,-,-,112,3,21,3,3,-
S01003545,687,6,89,15,25,-,125,4,217,8,19,-,-,-
S01003546,817,46,74,5,5,-,-,-,140,1,12,-,-,-
S01003547,639,5,127,14,-,-,-,-,122,4,11,-,-,-
S01003548,456,1,59,3,-,-,-,-,70,1,7,-,-,-
S01003549,713,18,38,1,-,-,-,-,76,-,3,-,-,-
S01003550,669,2,37,-,-,-,-,-,45,1,-,-,-,-
S01003551,698,1,44,2,-,-,-,-,51,5,-,-,-,-
S01003552,648,6,155,45,-,-,-,-,194,1,27,-,3,-
S01003553,633,14,43,-,-,-,-,-,34,5,-,-,-,-
S01003554,580,4,169,12,-,-,-,-,121,1,15,3,-,-
S01003555,582,4,121,20,11,-,55,7,179,2,34,-,3,-
S01003556,668,1,51,1,-,-,-,-,57,2,9,-,-,-
S01003557,705,20,57,-,-,-,-,-,74,2,3,-,-,-
S01003558,772,1,106,23,27,-,11,-,164,11,18,-,3,-
S01003559,810,-,79,4,-,-,-,-,56,2,3,-,-,-
S01003560,924,4,86,4,-,-,-,-,71,7,13,3,-,-
S01003561,777,4,93,2,102,2,21,1,100,4,5,-,-,-
S01003562,600,2,89,5,-,-,-,-,78,2,-,-,-,-
S01003563,557,2,46,3,-,-,-,-,31,1,6,-,-,-
S01003564,808,18,60,1,-,-,-,-,230,5,-,-,-,-
S01003565,793,7,53,3,-,-,-,-,60,4,-,-,-,-
S01003566,535,1,174,23,-,-,-,-,168,5,22,-,3,-
S01003567,741,25,101,-,46,-,-,8,63,8,10,-,-,-
S01003568,599,4,83,25,67,1,42,-,91,5,3,-,3,-
S01003569,694,1,13,11,-,-,-,-,38,6,11,-,-,-
S01003570,680,9,69,6,7,-,-,-,66,1,-,-,-,-
S01003571,797,5,84,5,-,-,-,-,71,4,9,-,-,-
S01003572,885,6,62,1,29,-,13,1,84,3,3,3,-,-
S01003573,869,1,49,-,-,-,-,-,48,4,3,-,-,-
S01003574,715,7,177,32,-,-,-,-,195,5,16,-,3,-
S01003575,815,3,51,6,-,-,-,-,56,12,3,-,-,-
S01003576,542,14,127,17,109,-,85,1,133,47,21,-,-,-
S01003577,701,-,38,2,-,-,-,-,112,7,3,-,-,-
S01003578,478,7,32,4,-,-,-,-,44,2,-,-,-,-
S01003579,466,11,153,2,-,-,-,-,67,2,6,-,-,-
S01003580,863,6,73,9,-,-,-,-,92,4,7,-,-,-
S01003581,667,7,113,11,85,31,461,274,652,13,22,3,-,-
S01003582,571,8,61,3,-,-,-,-,102,3,-,-,-,-
S01003583,546,-,33,2,-,-,-,-,51,2,-,-,-,-
S01003584,625,10,60,-,-,-,-,-,39,4,16,-,-,-
S01003585,506,6,37,2,-,-,-,-,62,1,8,-,-,-
S01003586,771,3,82,13,-,-,-,-,86,5,-,-,-,-
S01003587,996,9,42,7,-,-,-,-,55,8,3,3,-,-
S01003588,672,-,47,-,-,-,-,-,32,-,3,-,-,-
S01003589,879,10,106,32,43,8,28,45,323,21,18,5,-,-
S01003590,661,13,86,6,-,-,-,-,98,4,-,-,-,-
S01003591,842,19,112,-,24,-,98,25,152,5,6,-,3,-
S01003592,855,31,84,4,-,-,-,-,158,8,-,-,-,-
S01003593,784,5,74,-,-,-,-,-,66,3,6,-,-,-
S01003594,809,4,70,7,70,-,34,1,83,7,15,-,-,-
S01003595,862,10,82,3,-,-,-,-,98,9,-,-,-,-
S01003596,674,8,84,3,-,-,-,-,47,5,3,-,-,-
S01003597,567,-,24,14,25,-,4,-,28,5,6,-,-,-
S01003598,694,1,30,-,-,-,-,-,17,1,3,-,-,-
S01003599,607,-,50,-,-,-,-,-,51,4,3,-,3,-
S01003600,825,8,59,3,-,-,-,-,47,7,-,-,-,-
S01003601,794,4,41,2,-,-,-,-,74,1,3,-,-,-
S01003602,710,-,14,1,-,-,-,-,22,-,-,-,-,-
S01003603,736,-,73,10,7,-,8,-,64,8,6,3,-,-
S01003604,568,7,95,16,129,-,18,-,105,9,12,-,3,-
S01003605,590,1,66,-,-,-,-,-,53,6,3,-,-,-
S01003606,823,3,49,4,-,-,-,-,57,12,4,-,-,-
S01003607,506,4,45,2,-,-,-,-,28,1,-,-,-,-
S01003608,505,4,27,3,-,-,-,-,24,5,-,-,-,-
S01003609,932,5,90,15,-,-,-,-,78,4,15,4,3,-
S01003610,660,-,74,6,-,-,-,-,91,1,4,-,-,-
S01003611,797,4,50,2,-,-,-,-,59,8,3,-,-,-
S01003612,675,4,93,13,23,-,69,24,146,6,9,-,-,3
S01003613,729,1,72,6,33,-,2,-,80,4,-,-,-,-
S01003614,522,3,39,4,-,-,-,-,32,4,6,-,-,-
S01003615,431,12,98,-,-,-,-,-,34,6,-,-,-,-
S01003616,602,-,140,16,-,-,-,-,29,-,6,-,-,-
S01003617,854,10,79,2,-,-,-,-,85,3,-,-,-,-
S01003618,703,5,61,1,-,-,-,-,50,6,-,-,-,-
S01003619,810,10,63,-,-,-,-,-,54,2,-,-,-,-
S01003620,843,1,86,12,-,-,-,-,94,4,8,-,-,-
S01003621,928,5,36,-,-,-,-,-,30,3,-,-,-,-
S01003622,725,1,50,6,-,-,-,-,33,5,11,-,-,-
S01003623,887,-,51,8,-,-,-,-,61,3,-,-,-,-
S01003624,922,10,25,2,77,-,34,-,40,15,-,-,-,-
S01003625,684,5,79,3,-,-,-,-,149,9,7,-,6,-
S01003626,751,-,44,1,86,-,5,-,50,1,3,-,-,-
S01003627,539,7,42,-,-,-,-,-,45,3,6,-,-,-
S01003628,636,1,51,1,32,-,19,-,24,4,-,-,-,3
S01003629,764,5,39,-,-,-,-,-,28,3,-,-,-,-
S01003630,707,1,42,2,-,-,-,-,45,2,6,-,-,-
S01003631,670,1,73,-,-,-,-,-,37,6,3,-,-,-
S01003632,587,5,178,6,-,-,-,-,69,4,12,3,-,-
S01003633,819,19,80,1,-,-,-,-,105,3,6,-,-,-
S01003634,997,11,46,-,34,-,29,-,52,9,3,3,-,-
S01003635,486,-,72,6,-,-,-,-,73,5,-,-,-,-
S01003636,909,5,77,-,-,-,-,-,69,5,-,-,-,-
S01003637,663,9,82,7,32,-,-,-,57,8,3,-,-,-
S01003638,672,3,76,3,-,-,-,-,87,4,6,-,-,-
S01003639,737,2,50,-,-,-,-,-,46,2,-,-,-,-
S01003640,864,2,50,-,37,1,7,-,43,10,3,-,-,-
S01003641,677,11,59,1,-,-,-,-,57,-,15,-,-,-
S01003642,759,2,33,1,21,-,15,-,41,13,3,-,-,-
S01003643,739,5,58,9,-,-,-,-,102,4,7,-,-,-
S01003644,761,3,56,1,44,-,15,-,60,12,-,-,-,-
S01003645,529,-,41,-,-,-,-,-,15,3,6,-,-,-
S01003646,751,2,65,5,-,-,-,-,97,6,-,-,-,-
S01003647,654,7,50,-,-,-,-,-,44,3,3,-,-,-
S01003648,669,2,114,9,-,-,-,-,114,12,13,-,3,-
S01003649,969,11,88,4,-,-,-,-,64,2,6,-,-,-
S01003650,628,17,56,4,-,-,-,-,73,3,6,3,-,-
S01003651,716,-,27,1,-,-,-,-,46,4,-,-,-,-
S01003652,569,9,53,1,-,-,-,-,40,2,7,-,-,-
S01003653,723,6,52,-,2,-,3,-,46,1,-,-,-,-
S01003654,853,7,54,-,136,1,41,2,68,7,-,-,-,-
S01003655,895,11,39,3,-,-,-,-,37,-,-,-,-,-
S01003656,515,16,42,2,-,-,-,-,31,3,-,-,-,-
S01003657,823,5,67,1,25,-,31,-,36,9,-,3,-,-
S01003658,841,7,44,1,-,-,-,-,62,2,9,3,-,-
S01003659,755,12,85,8,-,-,-,-,80,2,17,-,-,-
S01003660,693,1,172,6,-,-,-,-,16,-,15,-,3,-
S01003661,722,5,106,4,-,-,-,-,72,2,10,-,-,-
S01003662,559,-,40,1,-,-,-,-,53,5,6,3,-,-
S01003663,689,4,66,5,-,-,-,-,59,7,6,-,-,-
S01003664,504,5,38,1,-,-,-,-,66,4,-,-,-,-
S01003665,593,3,48,5,-,-,-,-,59,1,-,-,-,-
S01003666,693,8,41,-,-,-,-,-,52,3,3,3,-,-
S01003667,847,6,61,1,-,-,-,-,57,1,9,-,-,-
S01003668,626,1,71,2,64,1,22,-,64,4,3,3,-,-
S01003669,547,-,21,-,-,-,-,-,15,6,9,-,-,-
S01003670,820,20,102,3,-,-,-,-,52,2,-,-,-,-
S01003671,643,8,48,-,-,-,-,-,33,1,6,-,-,-
S01003672,785,15,84,-,-,-,-,-,83,-,-,-,-,-
S01003673,624,14,80,7,-,-,-,-,149,3,-,3,-,-
S01003674,776,1,56,2,-,-,-,-,26,10,-,-,-,-
S01003675,610,1,72,7,-,-,-,-,77,-,11,-,-,-
S01003676,660,2,45,3,-,-,-,-,54,3,3,-,-,-
S01003677,742,8,23,-,-,-,-,-,55,2,-,-,-,-
S01003678,651,8,32,4,-,-,-,-,51,6,3,-,-,-
S01003679,987,4,67,4,-,-,-,-,72,7,-,-,-,-
S01003680,763,23,51,2,-,-,-,-,168,3,8,3,-,-
S01003681,549,3,34,3,-,-,-,-,18,6,9,-,-,-
S01003682,976,6,54,6,43,-,16,-,61,7,-,-,-,-
S01003683,619,-,38,1,4,-,2,-,28,1,6,-,-,-
S01003684,694,3,47,5,-,-,-,-,47,5,-,-,-,-
S01003685,496,1,51,-,-,-,-,-,29,4,-,-,-,-
S01003686,889,30,107,2,-,-,-,-,97,1,6,-,3,-
S01003687,610,7,81,1,-,-,-,-,46,5,12,-,-,-
S01003688,880,14,51,4,-,-,-,-,42,3,-,-,-,-
S01003689,543,30,50,-,-,-,-,-,43,6,-,-,-,-
S01003690,897,11,43,9,-,-,-,-,48,3,-,-,-,-
S01003691,1045,2,45,-,-,-,-,-,62,3,3,-,-,-
S01003692,934,6,77,5,-,-,-,-,50,3,-,-,-,-
S01003693,591,4,24,-,-,-,-,-,34,1,-,-,-,-
S01003694,836,7,47,3,-,-,-,-,46,8,-,-,-,-
S01003695,796,10,52,4,48,1,91,32,162,14,4,-,-,-
S01003696,994,-,100,1,-,-,-,-,91,3,12,-,-,-
S01003697,958,5,20,4,-,-,-,-,33,1,6,-,3,-
S01003698,899,-,41,-,-,-,-,-,12,6,3,-,-,-
S01003699,938,21,79,5,-,-,-,-,75,-,3,-,-,-
S01003700,986,2,57,1,-,-,-,-,35,2,3,-,-,-
S01003701,894,11,52,5,-,-,-,-,59,4,-,-,-,-
S01003702,773,7,57,-,-,-,-,-,65,6,-,-,3,-
S01003703,924,18,48,2,45,1,47,-,58,9,6,3,-,-
S01003704,677,-,36,-,-,-,-,-,42,5,-,-,-,-
S01003705,808,4,61,-,-,-,-,-,67,-,10,-,-,-
S01003706,695,6,73,3,-,-,-,-,51,2,-,-,-,-
S01003707,886,20,54,-,-,-,-,-,83,14,-,-,-,-
S01003708,594,10,52,2,-,-,-,-,130,2,6,-,-,-
S01003709,759,17,72,6,41,-,3,-,152,7,3,-,-,-
S01003710,818,9,59,8,-,-,-,-,64,2,-,-,-,-
S01003711,768,33,90,3,-,-,-,-,77,4,-,-,-,-
S01003712,856,13,92,-,-,-,-,-,62,2,6,-,-,-
S01003713,626,17,46,-,-,-,-,-,183,5,9,-,-,-
S01003714,827,14,84,1,-,-,-,-,37,2,-,-,-,-
S01003715,564,9,281,7,-,-,-,-,18,2,-,3,-,-
S01003716,650,82,32,5,-,-,-,-,121,2,6,-,-,-
S01003717,760,5,62,-,-,-,-,-,80,12,9,-,-,-
S01003718,648,9,46,-,-,-,-,-,86,3,-,3,-,-
S01003719,488,5,23,18,14,1,6,-,45,5,3,-,-,-
S01003720,820,38,41,27,3,-,1,-,16,4,7,3,-,-
S01003721,631,31,50,11,14,3,1,2,45,3,25,-,3,-
S01003722,799,58,24,13,-,-,-,-,73,8,20,-,-,-
S01003723,485,3,42,13,-,-,-,-,41,4,3,3,-,-
S01003724,727,9,38,11,-,-,-,-,90,5,10,-,-,-
S01003725,526,3,51,4,18,-,5,1,44,3,3,-,-,-
S01003726,583,11,84,1,-,-,-,-,78,3,3,3,-,-
S01003727,684,6,52,6,-,-,-,-,32,2,6,-,-,-
S01003728,463,26,10,-,-,-,-,-,29,6,6,-,-,-
S01003729,621,10,48,4,12,-,4,-,63,5,9,-,-,-
S01003730,567,17,61,-,-,-,-,-,45,4,9,-,-,-
S01003731,451,16,72,3,20,-,4,4,64,6,11,-,-,-
S01003732,741,14,58,3,-,-,-,-,66,4,-,-,-,-
S01003733,768,8,41,5,-,-,-,-,68,2,6,-,-,-
S01003734,676,5,28,1,-,-,-,-,36,3,-,3,-,-
S01003735,626,1,49,17,33,-,7,-,40,4,6,-,-,-
S01003736,787,8,32,3,-,-,-,-,58,2,6,-,-,-
S01003737,585,5,40,1,-,-,-,-,32,5,6,-,-,-
S01003738,612,11,31,5,-,-,-,-,46,12,3,-,-,-
S01003739,461,16,42,9,-,-,-,-,31,2,15,-,-,-
S01003740,500,15,34,25,-,-,1,-,42,1,3,-,-,-
S01003741,754,5,53,25,8,-,1,1,76,8,15,-,-,-
S01003742,432,15,62,8,7,-,2,-,32,3,6,-,-,-
S01003743,509,8,46,13,-,-,-,-,42,3,-,3,-,-
S01003744,522,7,25,13,8,-,3,-,53,5,6,-,-,-
S01003745,744,25,25,3,-,-,-,-,24,5,3,-,-,-
S01003746,725,25,35,7,4,-,-,-,34,2,6,-,3,-
S01003747,873,23,50,4,24,1,3,2,49,9,-,-,-,-
S01003748,457,8,51,8,55,7,4,1,48,8,3,-,-,-
S01003749,744,13,58,4,-,-,-,-,54,4,-,-,-,-
S01003750,538,8,53,12,-,-,-,-,46,4,6,-,-,-
S01003751,719,12,93,10,52,2,28,14,89,3,14,-,-,-
S01003752,661,22,46,20,18,2,23,2,39,10,15,-,-,-
S01003753,801,35,52,10,7,5,-,-,59,6,7,-,-,-
S01003754,809,16,51,7,-,-,-,-,63,1,-,-,-,-
S01003755,627,18,60,1,6,1,6,2,70,12,11,3,-,-
S01003756,630,7,32,18,29,-,8,2,19,7,3,4,3,-
S01003757,543,18,11,9,7,-,-,4,24,2,6,-,-,-
S01003758,698,9,26,15,-,-,-,-,32,7,12,-,-,-
S01003759,557,19,28,8,-,-,-,-,27,1,7,-,-,-
S01003760,702,13,35,4,-,-,-,-,35,5,6,-,-,-
S01003761,740,15,36,9,10,-,3,1,49,8,19,-,-,-
S01003762,730,19,72,17,-,-,-,-,50,7,3,3,-,-
S01003763,789,24,27,19,37,-,10,4,59,5,9,-,-,3
S01003764,802,3,47,7,-,-,-,-,45,7,6,3,-,-
S01003765,635,39,49,6,9,-,-,-,37,4,6,3,-,-
S01003766,506,16,59,14,9,1,2,-,71,8,9,-,-,-
S01003767,474,16,90,33,67,2,12,-,67,7,7,-,-,-
S01003768,505,23,16,20,8,1,2,-,31,3,6,-,-,-
S01003769,554,26,74,14,-,-,-,-,24,7,3,4,-,-
S01003770,560,16,33,18,-,-,-,-,18,5,3,-,-,-
S01003771,587,4,52,21,12,-,2,-,56,5,12,-,-,-
S01003772,477,2,26,16,39,-,8,1,41,4,-,3,-,-
S01003773,617,33,39,9,9,-,2,-,42,8,-,-,-,-
S01003774,551,16,41,8,19,-,11,-,49,7,3,3,-,-
S01003775,713,11,32,9,1,-,2,-,44,10,6,-,-,-
S01003776,528,7,28,13,2,-,-,-,27,1,9,3,-,-
S01003777,863,4,48,8,-,-,-,-,61,1,3,3,-,-
S01003778,401,11,80,18,-,-,-,-,40,3,6,-,-,-
S01003779,500,17,25,8,2,-,3,1,19,5,-,-,-,-
S01003780,797,13,66,8,83,-,9,-,61,4,3,-,-,-
S01003781,587,2,58,1,-,-,-,-,70,4,6,-,-,-
S01003782,498,4,42,16,-,-,-,-,52,2,3,4,-,-
S01003783,810,6,77,9,93,21,17,-,100,12,10,3,-,-
S01003784,468,5,107,-,-,-,-,-,78,3,3,4,-,-
S01003785,747,3,74,3,-,-,-,-,74,6,3,-,-,-
S01003786,874,3,45,3,-,-,-,-,57,9,-,-,-,-
S01003787,579,1,31,-,-,-,-,-,59,6,-,3,-,-
S01003788,631,-,52,6,25,1,8,1,42,7,-,-,-,-
S01003789,490,-,23,9,-,-,-,-,26,6,3,-,-,-
S01003790,566,10,42,-,-,-,-,-,42,4,6,3,-,-
S01003791,495,12,111,13,-,-,-,-,95,5,3,-,-,-
S01003792,590,1,83,3,-,-,-,-,78,1,3,3,-,-
S01003793,494,-,44,6,-,-,-,-,60,7,3,-,-,-
S01003794,586,1,76,6,23,-,9,1,61,4,15,-,-,-
S01003795,542,4,27,2,-,-,-,-,31,9,3,-,-,-
S01003796,560,4,81,9,-,-,-,-,90,2,9,-,-,-
S01003797,865,1,86,3,-,-,-,-,70,1,-,-,-,-
S01003798,729,1,65,7,14,-,2,-,78,5,8,3,-,-
S01003799,781,-,51,9,-,-,-,-,78,7,-,-,-,-
S01003800,562,14,57,8,46,-,9,-,69,8,20,-,-,-
S01003801,755,4,47,2,-,-,-,-,55,4,3,-,-,-
S01003802,721,-,43,1,-,-,-,-,64,6,3,-,-,-
S01003803,565,8,40,4,25,-,8,-,37,3,3,-,-,-
S01003804,563,-,63,3,-,-,-,-,51,1,-,-,-,-
S01003805,813,4,129,7,49,-,18,-,130,6,3,-,-,-
S01003806,612,-,56,-,-,-,2,-,41,8,-,-,-,-
S01003807,864,-,64,2,-,-,-,-,70,8,12,-,-,-
S01003808,562,24,39,2,26,-,6,4,72,3,6,-,-,-
S01003809,714,2,43,7,-,-,-,-,72,5,-,-,-,-
S01003810,762,1,42,5,58,1,18,-,64,6,3,-,-,-
S01003811,608,8,68,11,-,-,-,-,64,4,3,-,-,-
S01003812,814,1,79,2,-,-,-,-,65,8,-,-,-,-
S01003813,827,3,86,2,9,-,4,-,73,5,3,3,-,-
S01003814,683,2,55,8,19,-,3,-,52,8,9,3,-,-
S01003815,556,11,111,9,19,-,2,-,88,5,7,-,-,-
S01003816,709,19,107,11,-,-,-,-,63,3,3,-,-,-
S01003817,839,4,63,2,6,1,1,-,59,5,9,-,-,-
S01003818,775,-,51,2,-,-,-,-,56,6,-,-,-,-
S01003819,558,4,41,5,-,-,-,-,39,3,3,3,-,-
S01003820,771,12,104,12,32,-,60,5,111,18,10,4,-,-
S01003821,774,2,47,4,8,-,1,-,55,5,-,4,-,-
S01003822,494,3,52,12,51,1,105,6,140,11,32,6,-,-
S01003823,791,3,88,11,32,-,7,-,69,10,-,3,-,-
S01003824,520,18,93,5,34,-,5,3,113,-,7,3,-,-
S01003825,281,35,120,62,-,-,-,-,144,4,25,-,3,-
S01003826,588,36,65,2,20,1,7,-,73,5,-,-,-,-
S01003827,755,-,67,3,24,2,5,-,77,10,3,-,-,-
S01003828,519,-,114,12,36,-,11,1,54,-,3,-,-,-
S01003829,644,-,21,-,-,-,-,-,45,3,3,-,-,-
S01003830,794,10,111,1,-,-,-,-,86,2,13,-,-,-
S01003831,570,5,62,2,-,-,-,-,41,3,-,-,-,-
S01003832,680,2,118,12,23,-,12,1,79,3,3,-,-,-
S01003833,496,5,85,6,-,-,-,-,90,6,6,-,-,-
S01003834,625,1,47,1,-,-,-,-,57,5,3,-,-,-
S01003835,473,2,58,1,-,-,-,-,51,2,-,-,-,-
S01003836,423,2,100,8,27,-,26,-,96,6,12,-,-,-
S01003837,687,3,61,7,-,-,-,-,53,3,-,3,-,-
S01003838,494,7,111,7,-,-,-,-,47,3,-,-,-,-
S01003839,572,4,96,1,-,-,-,-,78,1,10,-,-,-
S01003840,596,-,57,1,43,-,15,-,64,2,7,-,-,-
S01003841,489,11,61,16,-,-,-,-,26,1,5,-,-,-
S01003842,535,1,51,1,-,-,-,-,34,1,3,-,-,-
S01003843,585,4,49,9,-,-,-,-,25,1,6,-,-,-
S01003844,719,4,54,1,-,-,-,-,60,3,6,-,-,-
S01003845,767,12,166,10,17,-,7,2,117,10,4,-,-,-
S01003846,710,21,31,18,11,-,-,1,45,2,-,-,-,-
S01003847,541,4,33,-,-,-,-,-,33,4,3,-,-,-
S01003848,682,4,43,5,-,-,-,-,74,7,3,-,-,-
S01003849,639,16,89,9,-,-,-,-,129,8,3,-,-,-
S01003850,482,-,73,5,-,-,-,-,70,2,-,-,-,-
S01003851,808,-,42,15,-,-,-,-,44,2,3,3,-,-
S01003852,471,3,57,5,23,-,1,-,53,3,9,-,-,-
S01003853,552,4,171,6,11,-,8,-,162,7,12,-,-,-
S01003854,515,11,52,5,3,-,-,-,56,4,6,-,-,-
S01003855,885,13,84,6,1,-,8,-,95,6,16,-,-,-
S01003856,649,1,68,6,-,-,-,-,96,3,6,3,-,-
S01003857,678,8,45,6,-,-,-,-,45,5,15,-,-,-
S01003858,574,4,42,1,-,-,-,-,68,2,-,-,3,-
S01003859,508,-,56,2,-,-,-,-,37,2,3,3,6,-
S01003860,552,29,68,12,8,-,-,-,77,7,3,-,-,-
S01003861,667,5,130,2,-,-,-,-,84,2,7,-,-,-
S01003862,499,28,72,11,-,-,-,-,77,1,10,3,3,-
S01003863,691,1,52,3,-,-,-,-,60,3,7,-,-,-
S01003864,830,1,53,2,-,-,-,-,65,10,3,-,-,-
S01003865,729,11,48,10,7,-,1,2,77,2,14,-,-,-
S01003866,747,14,34,15,2,-,5,-,72,5,9,-,9,-
S01003867,882,22,76,2,21,-,4,-,52,2,-,-,-,-
S01003868,581,2,41,8,-,-,-,-,44,7,15,3,3,-
S01003869,614,11,29,12,3,1,1,-,23,8,-,3,-,-
S01003870,691,20,82,9,-,-,-,-,48,2,8,-,-,-
S01003871,734,11,28,17,1,-,-,2,32,1,19,-,-,-
S01003872,764,1,75,4,-,-,-,-,55,5,3,-,-,-
S01003873,843,17,68,9,29,-,4,1,63,5,3,3,-,-
S01003874,548,9,51,14,86,-,33,7,64,5,20,6,-,-
S01003875,489,-,23,2,-,-,-,-,33,3,14,-,-,-
S01003876,576,12,50,7,-,-,-,-,57,6,6,3,-,-
S01003877,509,3,41,5,4,-,2,-,19,2,3,-,-,-
S01003878,862,26,51,21,5,-,1,-,86,10,17,-,-,-
S01003879,544,14,70,4,-,-,-,-,37,5,6,-,-,-
S01003880,807,26,50,7,-,-,-,-,40,1,-,3,-,-
S01003881,697,6,44,6,-,-,-,-,45,2,-,-,-,-
S01003882,437,6,83,4,-,-,-,-,22,2,6,-,-,-
S01003883,492,3,37,3,-,-,-,-,44,3,3,3,-,-
S01003884,702,21,31,-,-,-,-,-,44,4,3,-,-,-
S01003885,615,-,51,5,-,-,-,-,67,3,-,-,-,-
S01003886,513,10,54,3,-,-,-,-,52,-,-,-,-,-
S01003887,785,12,35,4,25,-,10,-,50,4,-,3,-,-
S01003888,524,7,64,11,17,-,7,-,67,1,22,-,-,-
S01003889,524,3,56,2,-,-,-,-,53,3,-,-,-,-
S01003890,606,2,27,10,4,-,3,-,28,7,3,-,-,-
S01003891,737,-,48,3,-,-,-,-,44,5,-,3,-,-
S01003892,573,9,39,6,-,-,-,-,51,-,15,-,-,-
S01003893,557,5,53,11,2,-,-,-,60,6,3,-,-,-
S01003894,705,16,94,9,-,-,-,-,84,6,11,3,-,-
S01003895,641,7,36,3,-,-,-,-,45,3,6,-,-,-
S01003896,607,2,35,9,23,-,1,-,37,13,3,-,-,-
S01003897,604,7,57,10,-,-,-,-,35,7,3,-,-,-
S01003898,611,14,58,7,64,2,5,-,59,7,9,-,-,-
S01003899,613,6,76,19,-,-,-,-,27,2,14,-,-,-
S01003900,585,10,88,18,-,-,-,-,84,2,9,3,-,-
S01003901,521,-,34,3,39,-,6,2,23,1,3,-,-,-
S01003902,804,14,63,11,15,-,8,1,52,1,10,-,-,-
S01003903,595,13,39,7,2,-,-,-,52,2,3,-,-,-
S01003904,581,10,97,10,-,-,2,-,65,5,5,-,-,-
S01003905,758,10,66,20,-,-,-,-,59,3,3,-,-,-
S01003906,661,1,51,5,-,-,-,-,49,2,3,-,-,-
S01003907,662,17,88,1,-,-,-,-,59,6,3,-,-,-
S01003908,761,8,46,8,-,-,-,-,68,3,-,-,-,-
S01003909,617,3,48,9,-,-,-,-,61,8,3,3,-,-
S01003910,652,3,53,4,-,-,-,-,66,3,-,-,-,-
S01003911,545,13,21,18,9,1,1,-,28,8,3,-,-,-
S01003912,603,9,66,6,-,-,-,-,41,4,3,-,-,-
S01003913,637,20,61,6,26,-,1,-,40,6,9,-,3,-
S01003914,795,21,39,20,11,-,4,-,51,14,3,-,-,-
S01003915,573,9,20,9,20,1,1,1,34,3,9,-,-,-
S01003916,698,3,44,16,9,-,-,-,49,10,-,5,-,-
S01003917,759,42,49,22,7,-,1,-,56,4,12,3,-,-
S01003918,782,33,66,5,-,-,-,-,79,9,3,3,-,-
S01003919,539,5,30,8,-,-,-,-,57,2,6,-,-,-
S01003920,580,4,60,3,-,-,-,-,42,1,-,-,-,-
S01003921,698,10,46,3,4,-,12,1,49,8,-,-,3,-
S01003922,715,16,62,5,25,-,4,-,63,5,18,-,-,-
S01003923,713,5,33,11,-,-,-,-,73,2,9,-,-,-
S01003924,463,10,30,2,-,-,-,-,36,3,9,-,-,-
S01003925,707,6,56,2,-,-,1,-,44,7,3,-,-,-
S01003926,570,11,51,-,-,-,-,-,51,5,-,-,-,-
S01003927,589,12,62,5,3,-,-,-,46,9,-,-,-,-
S01003928,812,14,57,5,-,-,-,-,64,2,3,-,-,-
S01003929,471,2,27,1,-,-,-,-,26,3,-,-,-,-
S01003930,693,13,34,-,3,-,3,-,40,3,3,-,-,-
S01003931,808,18,49,7,-,-,-,-,83,4,9,3,-,-
S01003932,766,17,34,10,47,3,15,1,50,6,3,3,-,-
S01003933,596,10,22,14,-,-,-,-,16,4,3,-,-,-
S01003934,811,21,47,16,-,-,-,-,90,7,16,-,-,-
S01003935,680,18,55,8,-,-,-,-,76,3,9,-,-,-
