"datazone","stayer","total","mover","one_year_mover_prop","ten_year_stayer_prop"
"S01003396",712,912,200,0.219298245614035,0.0841107592126045
"S01003397",777,956,179,0.187238493723849,0.125785698344093
"S01003398",810,999,189,0.189189189189189,0.122799134686513
"S01003399",757,1860,1103,0.593010752688172,0.000124689347655771
"S01003400",733,822,89,0.108272506082725,0.317922724103896
"S01003401",724,884,160,0.180995475113122,0.135788506556139
"S01003402",822,973,151,0.1551901336074,0.185178163516823
"S01003403",579,879,300,0.341296928327645,0.0153778948340672
"S01003404",645,768,123,0.16015625,0.174576163848451
"S01003405",787,889,102,0.114735658042745,0.295617210020543
"S01003406",634,793,159,0.200504413619168,0.10669908758
"S01003407",697,766,69,0.0900783289817232,0.389081054867431
"S01003408",570,724,154,0.212707182320442,0.0914877390099042
"S01003409",747,1024,277,0.2705078125,0.0426782351281043
"S01003410",448,1006,558,0.554671968190855,0.000306761132750394
"S01003411",992,1183,191,0.1614539306847,0.171897387081102
"S01003412",842,1015,173,0.170443349753695,0.154333602063151
"S01003413",721,861,140,0.16260162601626,0.169559111689336
"S01003414",628,689,61,0.0885341074020319,0.395734777676576
"S01003415",819,1499,680,0.453635757171448,0.00237040573450146
"S01003416",786,958,172,0.179540709812109,0.138219834813701
"S01003417",724,891,167,0.187429854096521,0.125489856189671
"S01003418",899,1007,108,0.107249255213505,0.321589760164285
"S01003419",903,1062,159,0.149717514124294,0.19752966885965
"S01003420",923,1060,137,0.129245283018868,0.250586896590771
"S01003421",531,571,40,0.0700525394045534,0.483708955794447
"S01003422",732,842,110,0.130641330166271,0.24659819623653
"S01003423",378,647,269,0.415765069551777,0.00463313752678307
"S01003424",865,1128,263,0.233156028368794,0.0703185777462508
"S01003425",620,1042,422,0.404990403071017,0.00556211168846532
"S01003426",888,1099,211,0.191992720655141,0.118618583502632
"S01003427",892,991,99,0.0998990918264379,0.349069576343112
"S01003428",717,937,220,0.234791889007471,0.0688328335267565
"S01003429",409,1173,764,0.651321398124467,2.65615221241554e-05
"S01003430",526,907,381,0.420066152149945,0.00430313103416017
"S01003431",655,761,106,0.139290407358738,0.223134350066934
"S01003432",642,1174,532,0.453151618398637,0.00239149408789195
"S01003433",552,1253,701,0.559457302474062,0.000275346821396135
"S01003434",862,957,95,0.0992685475444096,0.351522623211346
"S01003435",853,1007,154,0.152929493545184,0.190193471801739
"S01003436",514,657,143,0.21765601217656,0.0858969007579242
"S01003437",396,827,431,0.521160822249093,0.000633719051806871
"S01003438",607,1049,442,0.421353670162059,0.00420854551914925
"S01003439",847,935,88,0.0941176470588235,0.372149975367352
"S01003440",520,590,70,0.11864406779661,0.282822085199835
"S01003441",896,1165,269,0.230901287553648,0.0724137174316818
"S01003442",725,837,112,0.133811230585424,0.237752715407859
"S01003443",900,1038,138,0.132947976878613,0.24013284114052
"S01003444",815,943,128,0.135737009544008,0.232519382014522
"S01003445",843,1048,205,0.195610687022901,0.113413021210465
"S01003446",363,606,243,0.400990099009901,0.00594757611506071
"S01003447",986,1877,891,0.474693660095898,0.00160002372801221
"S01003448",689,778,89,0.11439588688946,0.296753772857496
"S01003449",622,1061,439,0.413760603204524,0.00479457380049657
"S01003450",678,912,234,0.256578947368421,0.0515642321964077
"S01003451",599,833,234,0.280912364945978,0.0369673406779116
"S01003452",771,1348,577,0.428041543026706,0.00374666495854477
"S01003453",550,976,426,0.436475409836066,0.00322945114005624
"S01003454",560,855,295,0.345029239766082,0.0145284446369348
"S01003455",765,850,85,0.1,0.3486784401
"S01003456",653,819,166,0.202686202686203,0.103822813852558
"S01003457",812,1017,205,0.2015732546706,0.105281184673688
"S01003458",831,978,147,0.150306748466258,0.196165075595932
"S01003459",842,981,139,0.141692150866463,0.21698556395006
"S01003460",573,1096,523,0.477189781021898,0.00152559999350987
"S01003461",762,830,68,0.0819277108433735,0.425371892698485
"S01003462",587,666,79,0.118618618618619,0.282903760770769
"S01003463",669,834,165,0.197841726618705,0.110306389910133
"S01003464",575,1177,602,0.511469838572642,0.000774308128599416
"S01003465",663,969,306,0.315789473684211,0.0224852392801322
"S01003466",652,830,178,0.214457831325301,0.0894736251099889
"S01003467",726,806,80,0.0992555831265509,0.351573221881414
"S01003468",495,931,436,0.468313641245972,0.00180532409899843
"S01003469",871,1139,268,0.235294117647059,0.0683823953129502
"S01003470",610,976,366,0.375,0.00909494701772928
"S01003471",888,1094,206,0.188299817184644,0.124152776910294
"S01003472",728,846,118,0.139479905437352,0.222643572881723
"S01003473",799,1032,233,0.22577519379845,0.0773875005714644
"S01003474",510,935,425,0.454545454545455,0.0023312328394265
"S01003475",699,991,292,0.294651866801211,0.0304814212302481
"S01003476",771,858,87,0.101398601398601,0.343297706513795
"S01003477",799,1102,303,0.274954627949183,0.0401468844456956
"S01003478",615,891,276,0.30976430976431,0.0245456262694725
"S01003479",643,914,271,0.296498905908096,0.0296925688317657
"S01003480",579,734,155,0.211171662125341,0.0932878401370534
"S01003481",804,1132,328,0.289752650176678,0.0326660196489175
"S01003482",574,698,124,0.177650429799427,0.141437541180994
"S01003483",598,672,74,0.110119047619048,0.311400359311296
"S01003484",667,1243,576,0.463395012067578,0.00197946147033233
"S01003485",679,1214,535,0.440691927512356,0.00299578661066785
"S01003486",863,976,113,0.11577868852459,0.292152616707255
"S01003487",707,1197,490,0.409356725146199,0.00516716861778821
"S01003488",930,1085,155,0.142857142857143,0.214058315601308
"S01003489",923,1041,118,0.113352545629203,0.300268459006884
"S01003490",658,804,146,0.181592039800995,0.134802655851373
"S01003491",631,730,99,0.135616438356164,0.232843967759279
"S01003492",782,1063,281,0.264346190028222,0.0464231798867773
"S01003493",644,783,139,0.177522349936143,0.141657982746521
"S01003494",669,865,196,0.226589595375723,0.07657730940104
"S01003495",749,935,186,0.198930481283422,0.108818332913187
"S01003496",708,1048,340,0.324427480916031,0.0198024876185534
"S01003497",752,1117,365,0.326768128916741,0.0191269919356785
"S01003498",891,1105,214,0.193665158371041,0.116186123034083
"S01003499",792,1165,373,0.320171673819742,0.0210859203788583
"S01003500",587,711,124,0.174402250351617,0.147124501784137
"S01003501",417,854,437,0.511709601873536,0.000770516321910472
"S01003502",627,886,259,0.292325056433409,0.0315020045167883
"S01003503",500,810,310,0.382716049382716,0.00803248373043942
"S01003504",476,986,510,0.517241379310345,0.000687543812135026
"S01003505",576,737,161,0.218453188602442,0.0850256490114319
"S01003506",747,1187,440,0.370682392586352,0.00974313743349055
"S01003507",342,674,332,0.492581602373887,0.00113151963666682
"S01003508",735,888,153,0.172297297297297,0.150918935428064
"S01003509",646,980,334,0.340816326530612,0.0154904638663527
